Código,Departamento,Sección departamento,T.C. (PDI),T.P. (PDI),Total (PDI),ETC (PDI),Tr. Doc. (PDI),Tr. Inv. (PDI),Tr. Aut. (PDI)
305091,PEDIATRÍA,PEDIATRÍA ,7,11,18,"11,13",19,38,76
305092,INGENÍERIA CIVIL,INGENIERÍA DEL TERRENO ,7,4,11,"9,5",9,18,53
305092,INGENÍERIA CIVIL,INGENIERÍA E INFRAESTRUCTURA DE LOS TRANSPORTES ,2,6,8,"5,5",2,3,9
305092,INGENÍERIA CIVIL,INGENIERÍA ELÉCTRICA ,6,3,9,"7,5",4,7,24
305092,INGENÍERIA CIVIL,TECNOLOGÍAS DEL MEDIO AMBIENTE ,9,2,11,"10,13",15,28,49
305093,ÓPTICA,ÓPTICA ,33,2,35,"34,5",52,95,193
305094,MEDICINA PREVENTIVA Y SALUD PÚBLICA,MEDICINA PREVENTIVA Y SALUD PÚBLICA ,14,5,19,"15,88",27,58,117
305095,TRADUCCIÓN E INTERPRETACIÓN,TRADUCCIÓN E INTERPRETACIÓN ,56,1,57,"56,75",34,120,323
305096,ESTOMATOLOGÍA,ESTOMATOLOGÍA ,45,29,74,"65,88",46,174,370
305098,PSICOLOGÍA SOCIAL Y METODOLOGÍA DE LAS CIENCIAS DEL COMPORTAMIENTO,PSICOLOGÍA SOCIAL ,24,6,30,"27,63",13,45,123
305099,ORGANIZACIÓN DE EMPRESAS,ORGANIZACIÓN DE EMPRESAS ,43,8,51,"48,63",27,51,163
305100,MECÁNICA DE MEDIOS CONTINUOS Y TEORÍA DE ESTRUCTURAS,INGENIERÍA HIDRÁULICA ,9,2,11,"10,5",12,15,46
305100,MECÁNICA DE MEDIOS CONTINUOS Y TEORÍA DE ESTRUCTURAS,MECÁNICA DE MEDIOS CONTINUOS Y TEORÍA DE ESTRUCTU ,17,8,25,"22,5",11,28,84
305101,MÉTODOS DE INVESTIGACIÓN Y DIAGNÓSTICO EN EDUCACIÓN,MÉTODOS DE INVESTIGACIÓN Y DIAGNÓSTICO EN EDUCACI ,24,1,25,"24,75",19,41,144
305102,MÉTODOS CUANTITATIVOS PARA LA ECONOMÍA Y LA EMPRESA,MÉTODOS CUANTITATIVOS PARA LA ECONOMÍA Y LA EMPRE ,20,1,21,"20,75",17,52,127
305103,LITERATURA ESPAÑOLA,LITERATURA ESPAÑOLA ,16,0,16,"15,75",33,59,123
305104,QUÍMICA FARMACÉUTICA Y ORGÁNICA,QUÍMICA FARMACEÚTICA Y ORGÁNICA ,1,0,1,1,0,0,0
305104,QUÍMICA FARMACÉUTICA Y ORGÁNICA,QUÍMICA FARMACEÚTICA Y ORGÁNICA ,16,1,17,"16,38",36,56,85
305105,COMERCIALIZACIÓN E INVESTIGACIÓN DE MERCADOS,COMERCIALIZACIÓN E INVESTIGACIÓN DE MERCADOS ,24,4,28,"26,75",11,30,98
305106,BOTÁNICA,BOTÁNICA ,16,3,19,18,41,68,127
305107,FISIOLOGÍA VEGETAL,FISIOLOGÍA VEGETAL ,16,0,16,16,45,71,135
305108,HISTOLOGÍA,HISTOLOGÍA ,9,2,11,"9,88",26,35,69
305109,TEORÍA E HISTORIA ECONÓMICA,FUNDAMENTOS DEL ANÁLISIS ECONÓMICO ,16,0,16,16,15,29,61
305109,TEORÍA E HISTORIA ECONÓMICA,HISTORIA E INSTITUCIONES ECONÓMICAS ,8,1,9,"8,5",10,28,51
305110,ANTROPOLOGÍA SOCIAL,ANTROPOLOGÍA SOCIAL ,16,2,18,"17,25",26,41,82
