Capítulo,Artículo,Concepto,Denominación,Importe
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,603,Maquinaria en general,213424
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"603,03",Maquinaria (equipamiento gral.docente),16000
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"603,04",Maquinaria (equipamiento de gestión),0
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,605,Mobiliario y enseres en general,428688
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"605,03",Mobiliario y enseres (equip. gral.docente),51000
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"605,04",Mobiliario y enseres (equip.gestión),0
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,606,Sistemas procesos información. en general,640272
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"606,01",Sistemas procesos información. CSIRC,216000
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"606,02",Sistemas procesos información. Enseñ. Virtuales,482070
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"606,05",Sistemas procesos información de Gestión,0
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,608,Inversiones bibliográficas,25000
Capítulo 6º. Inversiones reales,Artículo 62. Plan plurianual inversiones 2006/2010,622,Inversiones Infraestructura y Equip. J Andalucía,4416000
Capítulo 6º. Inversiones reales,Artículo 63. Programas FEDER y Campus de Excelencia,"635,01",Actuaciones CEI Fortalecimiento 2011,0
Capítulo 6º. Inversiones reales,Artículo 63. Programas FEDER y Campus de Excelencia,"635,03",Actuaciones INNPLANTA 2011,0
Capítulo 6º. Inversiones reales,Artículo 66. Inversiones de Reposición,662,Inversiones propias de reposición,6382433
Capítulo 7º transferencias de capital,Artículo 78. A Familias e Instituciones sin fines de lucro,"784,4",Ayudas diversas del Consejo Social,12000
