World Rank,University,Total Score,11 Years Articles,Current Articles,11 Years Citations,Current Citations,Ave. Citations,H-Index,HiCi Papers,Hi-Impact Journal Articles
147,VU University Amsterdam,51.8,51.6,49.2,51.3,50.5,50.2,58.7,52.5,51.7
148,The University of Western Ontario,51.7,52.7,47.6,53.1,48.8,51.2,54.0,52.5,53.6
149,University of Utah,51.6,52.4,50.0,52.3,51.1,50.7,54.4,44.0,58.7
150,The University of Auckland,51.5,49.9,50.3,50.0,52.6,50.0,50.1,52.5,55.4
150,New Jersey Institute of Technology,51.5,49.2,46.9,50.6,52.4,51.4,58.9,55.3,49.3
152,University of Birmingham,51.3,50.2,50.0,50.0,51.2,49.8,54.4,50.6,54.0
153,University of Notre Dame,51.2,46.4,44.7,59.1,46.6,69.6,49.1,51.6,44.7
153,Nanjing University of Aeronautics and Astronautics,51.2,48.9,52.5,47.5,51.7,47.8,54.4,53.4,52.6
155,University of Virginia,51.1,47.6,45.7,53.3,49.3,57.4,49.6,53.4,52.2
155,University of California- San Francisco,51.1,41.7,41.9,49.6,52.2,69.1,58.9,49.7,51.2
155,Charles III University of Madrid,51.1,55.0,59.7,46.6,53.6,44.1,50.2,44.0,55.0
155,Technical University of Berlin,51.1,52.6,51.5,49.5,49.5,47.7,49.6,54.4,52.2
159,Kyoto University,51.0,59.1,53.0,50.3,49.9,45.8,49.6,47.8,52.6
160,Fudan University,50.9,55.6,54.1,47.7,51.3,44.9,54.4,48.7,51.2
160,Karlsruhe Institute of Technology,50.9,55.8,51.5,52.3,48.8,48.6,49.5,48.7,51.7
160,University of Padua,50.9,50.1,49.6,48.9,53.6,48.7,54.7,48.7,54.0
160,Rensselaer Polytechnic Institute,50.9,51.2,49.5,54.1,47.6,53.7,49.3,51.6,49.3
164,Beijing Jiaotong University,50.8,51.4,58.2,45.1,53.3,43.7,59.0,45.9,51.2
164,Polytechnic University of Turin,50.8,52.7,53.3,49.2,50.9,47.4,58.7,48.7,47.5
164,University of Iowa,50.8,49.8,46.8,54.5,48.4,55.8,49.4,49.7,52.2
164,University of Tehran,50.8,52.1,59.2,47.3,54.3,45.7,54.8,46.9,47.5
168,Iran University of Science and Technology,50.7,48.3,56.5,44.7,58.3,44.3,59.6,51.6,44.7
168,University of California- Santa Barbara,50.7,54.6,51.5,53.8,46.7,50.6,49.1,47.8,51.2
170,McMaster University,50.5,50.4,48.5,50.8,54.0,50.7,59.1,49.7,45.1
170,University of Leeds,50.5,48.6,47.9,48.1,53.6,48.8,59.1,53.4,47.0
172,University of California- Santa Cruz,50.3,46.5,43.9,50.0,54.7,54.1,50.3,55.3,48.9
172,Iowa State University,50.3,53.6,50.1,55.4,47.4,52.7,45.5,48.7,48.4
174,University of Tennessee- Knoxville,50.1,48.4,48.5,49.1,55.5,50.4,54.9,45.9,50.8
174,Norwegian University of Science and Technology,50.1,52.7,52.2,49.1,51.1,47.2,54.4,47.8,47.9
174,Concordia University,50.1,53.4,53.6,49.4,49.3,47.2,54.1,45.0,50.3
174,The University of Texas- Dallas,50.1,53.8,53.5,48.5,51.8,46.3,54.5,45.0,49.3
174,University of Ljubljana,50.1,51.1,53.0,48.7,52.1,47.7,54.5,46.9,48.4
174,University of Bristol,50.1,49.7,50.1,49.3,50.5,49.4,54.3,46.9,51.7
180,Leiden University,50.0,47.3,47.1,51.2,50.9,54.9,49.8,50.6,48.9
180,Osaka University,50.0,57.7,54.2,49.1,48.0,45.4,53.9,46.9,46.5
182,The Hebrew University of Jerusalem,49.9,50.6,46.3,52.6,44.3,52.5,44.7,53.4,52.6
182,Tianjin University,49.9,46.1,55.7,44.1,55.1,44.5,54.9,49.7,49.3
182,University of Seville,49.9,52.9,58.2,47.1,51.3,45.2,49.9,45.9,48.9
182,The University of Texas- Arlington,49.9,48.2,47.4,47.5,52.4,48.2,58.9,46.9,52.2
182,Florida State University,49.9,47.6,46.1,51.1,47.6,54.2,49.3,50.6,52.6
182,University of Illinois- Chicago,49.9,52.3,47.1,51.3,50.0,49.7,49.7,48.7,51.2
188,Tokyo Institute of Technology,49.8,58.1,52.7,48.8,47.6,45.0,53.8,47.8,46.5
188,Shandong University,49.8,49.7,56.2,45.9,51.8,45.2,49.9,47.8,50.8
188,Friedrich Alexander University of Erlangen Nuremberg,49.8,48.6,47.1,50.4,54.0,51.9,54.7,44.0,51.2
188,Sharif University of Technology,49.8,50.7,57.4,45.2,53.0,44.0,54.6,46.9,47.5
192,Indian Statistical Institute,49.7,49.0,51.2,48.2,48.3,48.6,53.9,49.7,49.3
192,Claude Bernard University Lyon 1,49.7,48.2,52.3,47.1,49.6,47.7,54.1,46.9,52.2
192,Washington University in St. Louis,49.7,46.3,45.0,49.5,47.9,53.6,49.3,53.4,52.2
195,University of Colorado- Boulder,49.6,49.4,47.1,52.9,49.1,54.3,49.5,48.7,47.0
195,University of Zaragoza,49.6,48.4,51.4,48.3,51.5,49.1,54.4,45.9,49.8
195,National Technical University of Athens,49.6,55.7,49.6,49.5,49.9,46.3,54.2,46.9,47.0
195,Albert Ludwigs University of Freiburg,49.6,48.2,45.0,49.5,47.9,51.2,49.3,51.6,53.6
195,University of Paris XI: Sud,49.6,52.5,50.4,50.6,48.2,48.9,49.4,47.8,48.9
195,University College Dublin,49.6,48.7,47.6,56.6,43.8,60.2,44.5,48.7,46.1
195,University of Surrey,49.6,47.6,49.0,48.2,49.2,49.7,49.5,46.9,55.9
195,Feng Chia University,49.6,48.7,47.3,47.9,51.3,48.4,54.4,54.4,46.1
195,Beijing Institute of Technology,49.6,48.2,56.5,44.6,52.4,44.3,54.5,47.8,48.9
204,Royal Institute of Technology,49.5,52.5,54.6,48.8,50.7,47.1,46.3,45.9,49.8
205,Sichuan University,49.4,47.3,54.9,45.9,52.5,46.6,54.5,45.0,49.3
205,Georgia State University,49.4,47.3,45.7,52.3,47.2,56.5,49.2,48.7,48.9
205,Beijing University of Posts and Telecommunications,49.4,50.5,60.0,44.0,52.8,42.7,54.6,43.1,48.4
208,Ben-Gurion University of the Negev,49.3,53.8,52.2,50.0,48.6,47.6,45.8,45.9,49.8
208,State University of Campinas,49.3,49.9,51.5,47.6,50.4,47.2,58.7,45.0,47.0
208,University of Calgary,49.3,55.3,49.8,49.7,48.4,46.6,49.4,44.0,51.7
208,University of Geneva,49.3,45.3,44.7,47.6,48.8,51.8,62.9,48.7,48.4
212,Aristotle University of Thessaloniki,49.2,53.7,49.5,49.9,50.1,47.6,54.2,44.0,47.5
212,University of Pisa,49.2,54.9,51.5,50.5,47.1,47.5,49.2,45.9,47.9
212,Pohang University of Science and Technology,49.2,52.4,50.6,49.5,50.0,47.9,54.2,45.0,46.5
215,Sungkyunkwan University,49.1,55.2,53.6,45.5,50.5,43.2,54.3,44.0,48.9
215,University of SOUTH AUSTRALIA,49.1,44.4,45.0,45.2,55.8,48.1,55.0,55.3,46.5
215,Walter and Eliza Hall Institute of Medical Research,49.1,38.2,38.5,50.1,40.1,100.0,34.6,55.3,41.8
215,Tamkang University,49.1,48.1,47.6,45.7,55.1,45.9,59.2,48.7,46.5
215,University of Porto,49.1,48.9,51.4,47.1,51.1,47.2,58.8,45.9,45.6
220,University of California- Riverside,49.0,49.5,47.1,50.6,47.4,51.3,49.2,49.7,47.5
220,Hong Kong Baptist University,49.0,47.6,48.4,47.7,49.8,49.1,54.2,45.9,50.8
220,Université catholique de Louvain,49.0,46.8,47.3,50.3,49.7,54.1,49.6,47.8,47.9
223,École Normale Supérieure,48.9,45.5,43.6,49.0,45.8,54.0,53.5,51.6,49.3
223,Yuan Ze University,48.9,48.5,48.8,48.3,50.0,49.1,54.2,45.9,48.4
223,National Sun Yat-sen University,48.9,50.1,50.4,47.2,49.4,46.6,49.6,45.9,52.2
226,Middle East Technical University,48.8,48.8,50.6,46.5,50.5,46.5,54.3,45.9,48.9
226,Northwestern Polytechnical University,48.8,46.1,51.5,43.5,51.5,43.4,58.8,44.0,53.1
226,University of Malaga,48.8,51.3,54.4,47.4,48.2,46.2,53.9,43.1,47.5
