"Tipo","Denominación","Cargo","Identificación","Perfil"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Vicegerente de Planificación Estratégica de Recursos Humanos y Organización","Francisco Javier Buendí­a Fernández","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora del área de Formación","MÂª Eloí­sa Collantes Martí­n","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de la Unidad Técnica de Construcción","Juan Francisco Moriana ávila","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de la Oficina de Energí­a e Instalaciones","Antonio Espí­n Estrella","Decano"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de la Oficina de Infraestructuras y Patrimonio","Joaquí­n Passolas Colmenero","Decano"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Vicerrectora","Dorothy Kelly","Vicerrectora"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del Secretariado de Estrategia Internacional","Leonor Moral Soriano","Directora de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del Secretariado de Proyectos y Redes Internacionales","Artur Schmitt","Director de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del Secretariado de Coordinación Académica de la Internacionalización","Wenceslao Martí­n Rosales","Director de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora de la Oficina Internacional","Mercedes López Roldán","Director de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora del Secretariado de Política Lingüística","Carmen Caballero Navas","Directora de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director-Gerente del Centro de Lenguas Modernas","David Ortiz Rodrí­guez","Decano"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora del Instituto Confucio","Alicia Relinque Eleta","Vicedecana"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del Centro Ruso","Enrique F. Quero Gervilla","Sin remuneración"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del CICODE","Domingo Barrera Rosillo","Decano"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Vicerrectora","Teresa Ortega López","Vicerrectora"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora del área de Inclusión, Igualdad y Campus Saludable","Marí­a Elena Marañón Lizana","PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora del Secretariado para la Inclusión y la Diversidad","Esperanza Alcaí­n Martí­nez","Directora de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del Secretariado de Igualdad y Conciliación","Miguel Lorente Acosta","Director de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Asistente Técnica","Encarnación Molina Calles","PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora del Secretariado de Campus Saludable","M. Belén Feriche Fernández-Castanys","Directora de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del Centro de Actividades Deportivas (CAD)","Jordi Joan Mercadé Torras","Decano"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Subdirector del Centro de Actividades Deportivas (CAD)","Manuel Fernández Conde","Secretario Departamento"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Coordinadora del Campus Saludable","Marta Lozano Garcí­a","Secretario Departamento"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Coordinador de Infraestructura, Gestión de Espacios e Información a Centros","Juan Antonio Lao Pérez","Secretario Departamento"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Coordinador del Servicio de Salud","Javier Machado Santiago","Secretario Departamento"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Coordinador del Servicio Técnico de Prevención","Francisco Sicilia Gutiérrez","Secretario Departamento"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del Servicio de Protección Radiológica","Juan Villalba Moreno","Director de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora del Gabinete de Calidad de Vida y Envejecimiento","Ramona Rubio Herrera","Sin remuneración"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del Gabinete de Acción Social","Eugenio Manuel Roca Aroca","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de UGR-Solidaria","Juan Carlos Maroto Martos","Secretario Departamento"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Coordinador de Colegios Mayores y Residencias Universitarias","Antonio Almendros Gallego","Sin remuneración / compensación 6 créditos"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora de la Residencia Universitaria Carmen de la Victoria","Antonia Reyes Requena","Sin remuneración / compensación 6 créditos"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de la Residencia Universitaria Corrala de Santiago","José Antonio Garcí­a Sánchez","Sin remuneración"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora del Colegio Mayor Isabel La Católica","Aurora Valenzuela Garach","Directora de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Delegado","óscar Cordón Garcí­a","Vicerrector"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del CSIRC","José Ruiz González","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Subdirector del CSIRC","Jaime Molina Garcí­a","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del Centro de Enseñanzas Virtuales de la UGR","Ignacio José Blanco Medina","Decano"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Subdirector de Planificación Docente","Pedro Cano Olivares","Vicedecano"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Subdirectora de Producción Digital","Marí­a Isabel Garcí­a Arias","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Secretario del Centro de Enseñanzas Virtuales de la UGR","Benjamí­n Vargas Quesada","Secretario Departamento"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de la Oficina Web","Miguel Garcí­a Silvente","Director de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Subdirector de la Oficina Web","Pablo Orantes Pozo","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de la Oficina de Software Libre","Juan Julián Merelo Guervós","Director de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Subdirectora de la Oficina de Software Libre","Nuria Rico Castro","Secretario Departamento"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Inspector Jefe","Luis Megí­as Megí­as","Vicerrector"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora de la Oficina de Control Interno","Marí­a del Mar Núñez González","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Asesor Técnico-Jurí­dico del Equipo de Gobierno","Francisco J. López Bustos","Decano"
