RAMAS,TITULACIÓN,HOMBRE,MUJER
CIENCIAS SOCIALES Y JURÍDICAS,"MAESTRO (ESPECIALIDAD DE EDUCACIÓN INFANTIL) ""MELILLA""",1,1
CIENCIAS SOCIALES Y JURÍDICAS,MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE,19,191
CIENCIAS SOCIALES Y JURÍDICAS,"MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE ""CEUTA""",1,18
CIENCIAS SOCIALES Y JURÍDICAS,"MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE ""MELILLA""",0,13
CIENCIAS SOCIALES Y JURÍDICAS,MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE (LA INMACULADA),10,39
CIENCIAS SOCIALES Y JURÍDICAS,MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL,38,180
CIENCIAS SOCIALES Y JURÍDICAS,"MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL ""CEUTA""",8,30
CIENCIAS SOCIALES Y JURÍDICAS,"MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL ""MELILLA""",3,21
CIENCIAS SOCIALES Y JURÍDICAS,MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL (LA INMACULADA),27,71
CIENCIAS SOCIALES Y JURÍDICAS,MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA,289,116
CIENCIAS SOCIALES Y JURÍDICAS,"MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA ""CEUTA""",77,18
CIENCIAS SOCIALES Y JURÍDICAS,"MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA ""MELILLA""",48,12
CIENCIAS SOCIALES Y JURÍDICAS,MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA (LA INMACULADA),196,55
CIENCIAS SOCIALES Y JURÍDICAS,MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL,26,418
CIENCIAS SOCIALES Y JURÍDICAS,"MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL ""CEUTA""",7,114
CIENCIAS SOCIALES Y JURÍDICAS,"MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL ""MELILLA""",2,82
CIENCIAS SOCIALES Y JURÍDICAS,MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL (LA INMACULADA),23,236
CIENCIAS SOCIALES Y JURÍDICAS,MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL,128,127
CIENCIAS SOCIALES Y JURÍDICAS,"MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL ""CEUTA""",6,4
CIENCIAS SOCIALES Y JURÍDICAS,"MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL ""MELILLA""",2,10
CIENCIAS SOCIALES Y JURÍDICAS,MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL (LA INMACULADA),31,37
CIENCIAS SOCIALES Y JURÍDICAS,MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA,216,528
CIENCIAS SOCIALES Y JURÍDICAS,"MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA ""CEUTA""",25,66
CIENCIAS SOCIALES Y JURÍDICAS,"MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA ""MELILLA""",31,75
CIENCIAS SOCIALES Y JURÍDICAS,MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA (LA INMACULADA),52,106
CIENCIAS SOCIALES Y JURÍDICAS,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA,137,323
CIENCIAS SOCIALES Y JURÍDICAS,"MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA ""CEUTA""",8,20
CIENCIAS SOCIALES Y JURÍDICAS,"MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA ""MELILLA""",11,25
CIENCIAS SOCIALES Y JURÍDICAS,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA (LA INMACULADA),29,59
INGENIERÍA Y ARQUITECTURA,ARQUITECTO,905,706
INGENIERÍA Y ARQUITECTURA,ARQUITECTURA TÉCNICA,1279,640
INGENIERÍA Y ARQUITECTURA,GRADO EN ARQUITECTURA,102,67
INGENIERÍA Y ARQUITECTURA,GRADO EN INGENIERÍA CIVIL,148,52
INGENIERÍA Y ARQUITECTURA,GRADO EN INGENIERÍA DE EDIFICACIÓN,270,132
INGENIERÍA Y ARQUITECTURA,GRADO EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,115,32
INGENIERÍA Y ARQUITECTURA,GRADO EN INGENIERÍA INFORMÁTICA,429,47
INGENIERÍA Y ARQUITECTURA,GRADO EN INGENIERÍA INFORMÁTICA (CEUTA),17,2
INGENIERÍA Y ARQUITECTURA,GRADO EN INGENIERÍA QUÍMICA,70,56
INGENIERÍA Y ARQUITECTURA,INGENIERO DE TELECOMUNICACIÓN,366,102
INGENIERÍA Y ARQUITECTURA,INGENIERO EN ELECTRÓNICA,81,14
INGENIERÍA Y ARQUITECTURA,INGENIERO EN INFORMÁTICA,540,94
INGENIERÍA Y ARQUITECTURA,INGENIERO QUÍMICO,271,223
INGENIERÍA Y ARQUITECTURA,INGENIERO TÉCNICO EN INFORMÁTICA DE GESTIÓN,276,64
INGENIERÍA Y ARQUITECTURA,"INGENIERO TÉCNICO EN INFORMÁTICA DE GESTIÓN ""CEUTA""",19,4
INGENIERÍA Y ARQUITECTURA,INGENIERO TÉCNICO EN INFORMÁTICA DE SISTEMAS,291,38
INGENIERÍA Y ARQUITECTURA,"INGENIERO/A DE CAMINOS, CANALES Y PUERTOS",1052,410
CIENCIAS DE LA SALUD,DIPLOMADO EN ENFERMERÍA,83,287
CIENCIAS DE LA SALUD,"DIPLOMADO EN ENFERMERÍA ""CEUTA""",106,267
CIENCIAS DE LA SALUD,"DIPLOMADO EN ENFERMERÍA ""MELILLA""",29,121
CIENCIAS DE LA SALUD,DIPLOMADO EN ENFERMERÍA (VIRGEN DE LAS NIEVES),39,88
CIENCIAS DE LA SALUD,DIPLOMADO EN FISIOTERAPIA,66,93
CIENCIAS DE LA SALUD,DIPLOMADO EN LOGOPEDIA,24,148
CIENCIAS DE LA SALUD,DIPLOMADO EN TERAPIA OCUPACIONAL,27,124
CIENCIAS DE LA SALUD,GRADO EN ENFERMERÍA,31,105
CIENCIAS DE LA SALUD,GRADO EN ENFERMERÍA (CEUTA),42,98
CIENCIAS DE LA SALUD,GRADO EN ENFERMERÍA (MELILLA),9,51
CIENCIAS DE LA SALUD,GRADO EN ENFERMERÍA (VIRGEN DE LA NIEVES),9,50
CIENCIAS DE LA SALUD,GRADO EN FARMACIA,99,232
CIENCIAS DE LA SALUD,GRADO EN FISIOTERAPIA,25,28
CIENCIAS DE LA SALUD,GRADO EN LOGOPEDIA,7,55
CIENCIAS DE LA SALUD,GRADO EN MEDICINA,93,152
CIENCIAS DE LA SALUD,GRADO EN NUTRICIÓN HUMANA Y DIETÉTICA,25,75
CIENCIAS DE LA SALUD,GRADO EN ODONTOLOGÍA,29,54
CIENCIAS DE LA SALUD,GRADO EN PSICOLOGÍA,74,234
CIENCIAS DE LA SALUD,GRADO EN TERAPIA OCUPACIONAL,11,49
CIENCIAS DE LA SALUD,LICENCIADO EN FARMACIA,722,1521
CIENCIAS DE LA SALUD,LICENCIADO EN MEDICINA,562,910
CIENCIAS DE LA SALUD,LICENCIADO EN ODONTOLOGÍA,124,266
