TIPO DE PROYECTO,REFERENCIA,TITULO,ENTIDAD SOLICITANTE,CENTRO,DURACIÓN (AÑOS),COSTES DIRECTOS (EUROS),CONTRATOS PREDOC.,INVESTIGADOR PRINCIPAL
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,PSI2013-45055-P,APRENDIZAJE CAUSAL Y PERCEPCION DE LA INCERTIDUMBRE COMO INDICADORES DE SEVERIDAD Y PRONOSTICO DEL JUEGO PATOLOGICO,UNIVERSIDAD DE GRANADA,FACULTAD DE PSICOLOGIA,3,40000,1,Jose Cesar Perales Lopez
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,PSI2013-45567-P,MECANISMOS NEURALES SUBYACENTES A LOS EFECTOS ESTRATEGICOS Y AUTOMATICOS DE LA INFORMACION AFECTIVA EN LA TOMA DE DECISIONES INTERPERSONALES,UNIVERSIDAD DE GRANADA,FACULTAD DE PSICOLOGIA,3,65000,1,Maria Ruz Camara
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,PSI2013-45678-P,LA DESIGUALDAD SOCIAL: CONSECUENCIAS PSICOSOCIALES Y FORMAS DE AFRONTAMIENTO,UNIVERSIDAD DE GRANADA,FACULTAD DE PSICOLOGIA,3,35000,0,Rosa Rodriguez Bailon
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,PSI2013-46385-P,"ATENCION SOSTENIDA, EJERCICIO FISICO Y FORMA FISICA: CONOCIMIENTO DESDE EL EEG Y EKG",UNIVERSIDAD DE GRANADA,FACULTAD DE PSICOLOGIA,3,55000,1,Daniel Sanabria Lucena
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,SAF2013-49019-P,UN GEL DE MELATONINA QUE PREVIENE Y CURA LA MUCOSITIS: EVALUACION DE SU INTERACCION CON LOS EFECTOS CITOTOXICOS DE LA RADIO Y DE LA QUIMIOTERAPIA,UNIVERSIDAD DE GRANADA,INSTITUTO DE BIOTECNOLOGIA,3,90000,0,Germaine Escames Rosa
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,TEC2013-46690-P,NUEVAS APROXIMACIONES AL TRATAMIENTO DE DISTORSIONES PARA APLICACIONES MULTIMEDIA SOBRE DISPOSITIVOS MOVILES INTELIGENTES,UNIVERSIDAD DE GRANADA,E.T.S. DE INGENIERIAS INFORMATICA Y DE TELECOMUNICACION,3,39900,0,Victoria Eugenia Sanchez Calle
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,TIN2013-40658-P,SISTEMAS INTELIGENTES DE CONSENSO PARA LA TOMA DE DECISIONES EN CONTEXTOS HETEROGENEOS Y DINAMICOS: APLICACIONES EN E-TURISMO,UNIVERSIDAD DE GRANADA,E.T.S. DE INGENIERIAS INFORMATICA Y DE TELECOMUNICACION,3,75650,0,Enrique Herrera
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,TIN2013-42741-P,MEJORA DE LOS SISTEMAS DE ACCESO A LA INFORMACION MEDIANTE EL DISEÑO Y APLICACION DE TECNICAS DE ADAPTABILIDAD. &#8194;,UNIVERSIDAD DE GRANADA,E.T.S. DE INGENIERIAS INFORMATICA Y DE TELECOMUNICACION,3,34650,0,Juan Manuel Fernandez Luna
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,TIN2013-46223-P,ARQUITECTURA PARA REDES MOVILES 5G BASADA EN SOFWARE DEFINED NETWORKS,UNIVERSIDAD DE GRANADA,E.T.S. DE INGENIERIAS INFORMATICA Y DE TELECOMUNICACION,3,26800,0,Pablo Ameigeiras Gutierrez
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,TIN2013-46638-C3-2-P,MODELOS GRAFICOS PROBABILISTICOS PARA ANALITICA ESCALABLE DE DATOS,UNIVERSIDAD DE GRANADA,CENTRO DE INVESTIGACION EN TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES (CITIC-UGR),3,54000,0,Andres Cano Utrera
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,TIN2013-47069-P,NEUROCIENCIA COMPUTACIONAL EN CICLOS CERRADOS DE PERCEPCION-ACCION,UNIVERSIDAD DE GRANADA,DPTO. DE ARQUITECTURA Y TECNOLOGIA DE COMPUTADORES,3,112500,0,Eduardo Ros Vidal
