FECHA,AÑO,Doctorando,TITULO_TESIS,APELLIDO1,APELLIDO2,NOMBRE
16-11-2012,2012,"MIRJAN, MOHAMMED J.",LA VIDA FAMILIAR EN LOS REFRANEROS BAGDADI Y ESPAÑOL. ESTUDIO ANALITICO-COMPARADO,MARTÍNEZ,GONZÁLEZ,ANTONIO
16-11-2012,2012,"ARCO GONZALEZ, ROCIO",EFECTO DE MUTACIONES EN PROTEÍNAS EN LA SUPERVIVENCIA DE MICROORGANISMOS BAJO CONDICIONES DE ESTRÉS Y PRESENCIA DE ANTIBIÓTICOS,DELGADO,DELGADO,ASUNCIÓN
16-11-2012,2012,"MORA LUNA, ANTONIA MARIA",LA EDUCACION LITERARIA EN LA ESPAÑA CONTEMPORANEA. CURRICULA EDUCATIVOS Y MANUALISTICA ESCOLAR PAR EL CONSTRUCCION DE IDENTIDADES (1970-2006),BEAS,MIRANDA,MIGUEL
16-11-2012,2012,"CARDENAS CRUZ, DOLORES PURIFICACION",PROYECTO SALVAVIDAS: PROGRAMA DE FORMACION MASIVA PARA LA POBLACION GENERAL EN EL SOPORTE VITAL BASICO,CÁRDENAS,CRUZ,ANTONIO
16-11-2012,2012,"PEREZ ESPIGARES, CARLOS",FLUCTUACIONES FUERA DEL EQUILIBRIO EN SISTEMAS DIFUSIVOS,GARRIDO,GALERA,PEDRO LUIS
16-11-2012,2012,"GARCIA TRAVE, GEMA MARIA",ANALISIS COMPARATIVO DEL COMPORTAMIENTO MECANICO DE MEZCLAS BITUMINOSAS. NORMATIVA NLT-NORMATIVA UNE-EN,RUBIO,GÁMEZ,MARÍA DEL CARMEN
16-11-2012,2012,"MIRJAN, MOHAMMED J.",LA VIDA FAMILIAR EN LOS REFRANEROS BAGDADI Y ESPAÑOL. ESTUDIO ANALITICO-COMPARADO,JAWAD,THANOON,AKRAM
19-11-2012,2012,"HIPOLA RUIZ, PEDRO",INFORMACIÓN DIGITAL Y ACTIVIDAD ECONÓMICA: CARENCIAS Y AVANCES EN ESPAÑA DURANTE EL PERÍODO 2007-2010,MOYA,ANEGÓN,FÉLIX DE
19-11-2012,2012,"RODRIGUEZ PRIEGO, NURIA",THREE ESSAYS ON PRO-ENVIRONMENTAL CONSUMERS BEHAVIOR,MONTORO,RÍOS,FRANCISCO JAVIER
19-11-2012,2012,"TEJADA MEDINA, VIRGINIA",ANALISIS DE LAS VARIABLES ANTROPOMÉTRICAS Y SU INFLUENCIA SOBRE EL RENDIMIENTO DEPORTIVO EN REGATISTAS DE LA CLASE OPTIMIST DE VELA,RAMÍREZ,JIMÉNEZ,VICENTE PAUL
19-11-2012,2012,"TEJADA MEDINA, VIRGINIA",ANALISIS DE LAS VARIABLES ANTROPOMÉTRICAS Y SU INFLUENCIA SOBRE EL RENDIMIENTO DEPORTIVO EN REGATISTAS DE LA CLASE OPTIMIST DE VELA,HEREDIA,JIMÉNEZ,JOSÉ MARÍA
19-11-2012,2012,"TEJADA MEDINA, VIRGINIA",ANALISIS DE LAS VARIABLES ANTROPOMÉTRICAS Y SU INFLUENCIA SOBRE EL RENDIMIENTO DEPORTIVO EN REGATISTAS DE LA CLASE OPTIMIST DE VELA,TORRES,GUERRERO,JUAN
20-11-2012,2012,"SOLARI MONTENEGRO, GUIDO CLEMENTE",ESTUDIO ERGONOMICO DEL TRABAJADOR MINERO CHILENO: FACTORES DE RIESGO FISICOS Y PSICOSOCIALES RELACIONADOS CON EL DOLOR LUMBAR,SOTO,HERMOSO,VÍCTOR MANUEL
20-11-2012,2012,"ALONSO CALDERÓN, RUBÉN",IMPLICACION DE HIF-I EN LOS MECANISMOS MOLECULARES DE RESPUESTA A FARMACOS EN EL TRATAMIENTO NEOADYUVANTE DEL CANCER DE MAMA,RAMÍREZ,TORTOSA,MARÍA CARMEN
20-11-2012,2012,"SOLARI MONTENEGRO, GUIDO CLEMENTE",ESTUDIO ERGONOMICO DEL TRABAJADOR MINERO CHILENO: FACTORES DE RIESGO FISICOS Y PSICOSOCIALES RELACIONADOS CON EL DOLOR LUMBAR,HEREDIA,JIMÉNEZ,JOSÉ MARÍA
21-11-2012,2012,"ZARAGOZA FERNANDEZ, MARIA PILAR","INTERVENCIÓN INTENSA SOBRE LA DIETA Y ESTILO DE VIDA, EN PACIENTES HIPERTENSOS NO CONTROLADOS, DURANTE DOS MESES EN UNA FARMACIA COMUNITARIA",MARTÍNEZ,MARTÍNEZ,FERNANDO
21-11-2012,2012,"MARTIN FERNANDEZ, LAURA",TECNICAS DE FILTRADO BAYESIANO APLICADAS AL MODELADO AMBIENTAL CUANTITATIVO EN ACUSTICA Y ECOLOGIA,RUIZ,PADILLO,DIEGO PABLO
21-11-2012,2012,"CASTAGNA, CARLO",PHYSIOLOGICAL DEMANDS AND FITNESS ASSESSMENT IN FUSAL,GRANDA,VERA,JUAN
21-11-2012,2012,"CASTAGNA, CARLO",PHYSIOLOGICAL DEMANDS AND FITNESS ASSESSMENT IN FUSAL,BARBERO,ÁLVAREZ,JOSÉ CARLOS
22-11-2012,2012,"SALAZAR LOPEZ, ELVIRA",APLICACIÓN DE LA TERMOGRAFÍA A LA PSICOLOGÍA BÁSICA,GÓMEZ,MILÁN,EMILIO
