REFERENCIA,TITULO,ENTIDAD SOLICITANTE,CENTRO,DURACIÓN (AÑOS),"COSTES DIRECTOS (EUROS)",CONTRATOS PREDOC.,INVESTIGADOR PRINCIPAL
FIS2013-45952-P,"COLORIMETRIA AVANZADA: TEXTURA Y COLOR EN IMAGENES",UNIVERSIDAD DE GRANADA,DPTO. DE OPTICA,3,32000.000,0,Rafael Huertas Roa
FPA2013-47836-C3-1-P,"CALCULOS PRECISOS PARA LA BUSQUEDA DE NUEVA FISICA A LA ESCALA DEL TEV EN GRANDES COLISIONADORES Y OBSERVATORIOS DE PARTICULAS",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,140000.000,1,Francisco Del Aguila Gimenez
FPA2013-47836-C3-2-P,"IMPLICACIONES DE NUEVA FISICA EN COLISIONADORES DE ALTA ENERGIA",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,85000.000,0,Juan Antonio Aguilar Saavedra
FPA2013-47836-C3-3-P,QCD Y NUEVA FISICA CON ASTROPARTICULAS,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,70000.000,0,Manuel Masip Mellado
HAR2013-41728-P,"MODELOS DE FOMENTO Y APRECIACION EN LAS ARTES. DEL REFORMISMO LIBERAL AL FIN DE LA AUTARQUIA (1925-1957)",UNIVERSIDAD DE GRANADA,DPTO. HISTORIA DEL ARTE Y MUSICA,3,40000.000,0,Maria Dolores Caparros Masegosa
HAR2013-42794-P,"ESCLAVITUD Y RESCATE: TRAFICO HUMANO E INSEGURIDAD EN EL MEDITERRANEO OCCIDENTAL (SIGLOS XV AL XIX)",UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,34000.000,0,Aurelia Martin Casares
HAR2013-47779-C3-1-P,"MOVILIZACION COLECTIVA, CONFLICTIVIDAD Y DIFUSION DE ACTITUDES DEMOCRATICAS ENTRE LA POBLACION RURAL ANDALUZA DURANTE EL TARDOFRANQUISMO Y LA TRANSICION POLITICA, 1962-1982",UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,26000.000,0,Francisco Cobo Romero
HAR2013-48658-C2-1-P,"MUSICA DURANTE LA GUERRA CIVIL Y EL FRANQUISMO (1936-1960): CULTURAS POPULARES, VIDA MUSICAL E INTERCAMBIOS HISPANO-AMERICANOS",UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,36000.000,0,Gemma Perez Zalduondo
MTM2013-41992-P,"ESTRUCTURAS ALGEBRAICAS NO CONMUTATIVAS: APPLICACIONES",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,38724.000,0,Jose Gomez Torrecillas
MTM2013-43970-P,"GEOMETRIA GLOBAL DE SUPERFICIES Y ECUACIONES DIFERENCIALES NO LINEALES ASOCIADAS",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,64525.000,1,Jose Antonio Galvez Lopez
MTM2013-47828-C2-1-P,"GEOMETRIA SEMI-RIEMANNIANA Y PROBLEMAS VARIACIONALES EN FISICA MATEMATICA",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,62293.000,1,Miguel Sanchez Caja
MTM2013-47929-P,AVANCES EN MODELIZACION CON DATOS FUNCIONALES. APLICACION EN ANALISIS DE TIEMPOS DE VIDA,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,59500.000,0,Ana Maria Aguilera Del Pino
MTM2013-48371-C2-1-P,DESIGUALDADES GEOMETRICAS,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,40041.000,0,Manuel Maria Ritore Cortes
PSI2013-45041-P,"ANALISIS PSICOSOCIAL DE LA VIOLENCIA CONTRA LAS MUJERES: ACTITUDES, MITOS, CONTEXTOS SOCIALES NORMALIZADORES Y TENDENCIAS A LA AGRESION",UNIVERSIDAD DE GRANADA,FACULTAD DE PSICOLOGIA,3,35000.000,0,Jesus Lopez Megias
PSI2013-45055-P,"APRENDIZAJE CAUSAL Y PERCEPCION DE LA INCERTIDUMBRE COMO INDICADORES DE SEVERIDAD Y PRONOSTICO DEL JUEGO PATOLOGICO",UNIVERSIDAD DE GRANADA,FACULTAD DE PSICOLOGIA,3,40000.000,1,Jose Cesar Perales Lopez
PSI2013-45567-P,MECANISMOS NEURALES SUBYACENTES A LOS EFECTOS ESTRATEGICOS Y AUTOMATICOS DE LA INFORMACION AFECTIVA EN LA TOMA DE DECISIONES INTERPERSONALES,UNIVERSIDAD DE GRANADA,FACULTAD DE PSICOLOGIA,3,65000.000,1,Maria Ruz Camara
PSI2013-45678-P,"LA DESIGUALDAD SOCIAL: CONSECUENCIAS PSICOSOCIALES Y FORMAS DE AFRONTAMIENTO",UNIVERSIDAD DE GRANADA,FACULTAD DE PSICOLOGIA,3,35000.000,0,Rosa Rodriguez Bailon
PSI2013-46385-P,"ATENCION SOSTENIDA, EJERCICIO FISICO Y FORMA FISICA: CONOCIMIENTO DESDE EL EEG Y EKG",UNIVERSIDAD DE GRANADA,FACULTAD DE PSICOLOGIA,3,55000.000,1,Daniel Sanabria Lucena
SAF2013-49019-P,"UN GEL DE MELATONINA QUE PREVIENE Y CURA LA MUCOSITIS: EVALUACION DE SU INTERACCION CON LOS EFECTOS CITOTOXICOS DE LA RADIO Y DE LA QUIMIOTERAPIA",UNIVERSIDAD DE GRANADA,INSTITUTO DE BIOTECNOLOGIA,3,90000.000,0,Germaine Escames Rosa
TEC2013-46690-P,"NUEVAS APROXIMACIONES AL TRATAMIENTO DE DISTORSIONES PARA APLICACIONES MULTIMEDIA SOBRE DISPOSITIVOS MOVILES INTELIGENTES",UNIVERSIDAD DE GRANADA,"E.T.S. DE INGENIERIAS INFORMATICA Y DE TELECOMUNICACION",3,39900.000,0,Victoria Eugenia Sanchez Calle
TIN2013-40658-P,SISTEMAS INTELIGENTES DE CONSENSO PARA LA TOMA DE DECISIONES EN CONTEXTOS HETEROGENEOS Y DINAMICOS: APLICACIONES EN E-TURISMO,UNIVERSIDAD DE GRANADA,E.T.S. DE INGENIERIAS INFORMATICA Y DE TELECOMUNICACION,3,75650.000,0,Enrique Herrera
TIN2013-42741-P,"MEJORA DE LOS SISTEMAS DE ACCESO A LA INFORMACION MEDIANTE EL DISEÑO Y APLICACION DE TECNICAS DE ADAPTABILIDAD. &#8194;",UNIVERSIDAD DE GRANADA,"E.T.S. DE INGENIERIAS INFORMATICA Y DE TELECOMUNICACION",3,34650.000,0,Juan Manuel Fernandez Luna
TIN2013-46223-P,ARQUITECTURA PARA REDES MOVILES 5G BASADA EN SOFWARE DEFINED NETWORKS,UNIVERSIDAD DE GRANADA,"E.T.S. DE INGENIERIAS INFORMATICA Y DE TELECOMUNICACION",3,26800.000,0,Pablo Ameigeiras Gutierrez
TIN2013-46638-C3-2-P,MODELOS GRAFICOS PROBABILISTICOS PARA ANALITICA ESCALABLE DE DATOS,UNIVERSIDAD DE GRANADA,CENTRO DE INVESTIGACION EN TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES (CITIC-UGR),3,54000.000,0,Andres Cano Utrera
TIN2013-47069-P,NEUROCIENCIA COMPUTACIONAL EN CICLOS CERRADOS DE PERCEPCION-ACCION,UNIVERSIDAD DE GRANADA,"DPTO. DE ARQUITECTURA Y TECNOLOGIA DE COMPUTADORES",3,112500.000,0,Eduardo Ros Vidal
TIN2013-47210-P,"UN ENFOQUE INTEGRAL BASADO EN COMPUTACION FLEXIBLE PARA EL ANALISIS Y MODELADO DE SERIES TEMPORALES",UNIVERSIDAD DE GRANADA,ESCUELA TECNICA SUPERIOR DE INGENIERIA INFORMATICA,3,38550.00,0,Jose Manuel Benitez Sanchez
TIN2013-41585-P,DESARROLLO DE UN ASISTENTE COMPUTACIONAL PARA LA SELECCION OPTIMAL DE PROYECTOS DE INVESTIGACION EN CONCURSOS ALTAMENTE COMPETITIVOS Y CON RECURSOS LIMITADOS,UNIVERSIDAD DE GRANADA,DPTO. CIENCIAS COMPUTACION E INTELIGENCA ARTIFCAL,3,10268.00,0,Rosa Maria Rodriguez Sanchez
FEM2013-42041-P,"LAS POETAS HISPANOAMERICANAS: IDENTIDADES, FEMINISMOS, POETICAS (S. XIX-XXI)",UNIVERSIDAD DE GRANADA,DPTO. DE LITERATURA ESPAÑOLA,2,12000.00,0,Milena Rodriguez Gutierrez
FIS2013-40661-P,CIENCIA Y TECNOLOGIA DEL COLOR,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,55000.00,0,Manuel Melgosa Latorre
FIS2013-44975-P,ESTUDIO EXPERIMENTAL Y NUMERICO DE FENOMENOS ELECTROMAGNETICOS NATURALES PARA EL DIAGNOSTICO DEL MEDIO AMBIENTE,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,37000.00,0,Alfonso Salinas Extremera
DEP2013-47656-P,EVALUACION FISICA CARDIOVASCULAR Y PSICOLOGICA DE ADOLESCENTES ANDALUCES. MECANISMOS DE PREVENCION Y RIESGO.,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS DE LA ACTVIDAD FISICA Y EL DEPORTE,3,45000.00,0,Juan Carlos De La Cruz Marquez
EDU2013-41632-P,PENSAMIENTO FUNCIONAL EN ESTUDIANTES DE EDUCACION PRIMARIA COMO APROXIMACION AL PENSAMIENTO ALGEBRAICO,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS DE LA EDUCACION,3,47100.00,0,Maria Consuelo Cañadas Santiago
EDU2013-43868-P,LA FORMACION DE LOS DOCENTES DE ESPAÑOL PARA INMIGRANTES EN DIFERENTES CONTEXTOS EDUCATIVOS,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS DE LA EDUCACION,3,14200.00,0,Dimitrinka Georgieva Nikleva
EDU2013-44890-P,ESTUDIO DEL BIENESTAR DOCENTE DEL PROFESORADO DE LENGUAS ANTE LOS RETOS DEL PLURILINGUISMO Y LAS AULAS MULTICULTURALES,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS DE LA EDUCACION,3,13800.00,0,Mª Cristina Perez Valverde
DER2013-41156-P,DERECHO CONTRACTUAL COMPARADO,UNIVERSIDAD DE GRANADA,FACULTAD DE DERECHO,3,58000.00,0,Sixto Alfonso Sanchez Lorenzo
DER2013-42960-P,LA DIMENSION CONSTITUCIONAL DEL PROCESO DE INTEGRACION EUROPEA EN EL CONTEXTO DE LA GLOBALIZACION,UNIVERSIDAD DE GRANADA,FACULTAD DE DERECHO,3,21500.00,0,Juan Francisco Sanchez Barrilao
DER2013-47574-P,JUBILACION Y ENVEJECIMIENTO ACTIVO EN E_ MARCO DE LA SOSTENIBILIDAD DEL SISTEMA DE PENSIONES,UNIVERSIDAD DE GRANADA,FACULTAD DE DERECHO,3,16000.00,0,Jose Luis Monereo Perez
DER2013-47655-P,RIESGOS NATURALES Y DERECHO. ESPECIAL CONSIDERACION A LOS RIESGOS LIGADOS A LA DINAMICA FLUVIAL Y LITORAL: SU REACION CON EL CAMBIO CLIMATICO,UNIVERSIDAD DE GRANADA,FACULTAD DE DERECHO,3,38500.00,0,Estanislao Arana Garcia
DER2013-48813-C2-1-P,ESTUDIO TRANSVERSAL DE LOS PRESTAMOS HIPOTECARIOS RESPONSABLES,UNIVERSIDAD DE GRANADA,FACULTAD DE DERECHO,3,20000.00,0,Klaus Jochen Albiez Dohrmann
CSO2013-47288-P,"NARRATIVAS TRANSMEDIALES: NUEVOS MODOS DE FICCION AUDIOVISUAL, COMUNICACION PERIODISTICA Y PERFORMANCE EN LA ERA DIGITAL""",UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,88000.00,0,Domingo Sanchez-Mesa Martinez
FFI2013-43813-P,LENGUA Y LITERATURA DEL JUDAISMO CLASICO: RABINICO Y MEDIEVAL,UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,27000.00,0,Maria Carmen Caballero Navas
FFI2013-44041-P,"LA CONFIGURACION DEL PATRON POETICO ESPAÑOL TRAS LA GUERRA CIVIL: RELACIONES LITERARIAS, CULTURALES Y SOCIALES",UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,11000.00,0,Maria Encarnacion Alonso Valero
FFI2013-46207-P,ORALIA DIACRONICA DEL ESPAÑOL (ODE). HUMANIDADES DIGITALES Y RECUPERACION DEL PATRIMONIO LINGUISTICO-DOCUMENTAL,UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,4,40000.00,0,Mª Teresa Garcia Godoy
HAR2013-41278-P,"EX BAETICA SIGILLATAE: TRANSFERENCIAS TECNOLOGICAS, PRODUCCION Y CIRCULACION DE VAJILLAS CERAMICAS EN E_ SUR DE LA PENINSULA IBERICA (SS. I-II D.C.)",UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,16000.00,0,Mª Isabel Fernandez Garcia
HAR2013-41635-P,LA UARATIO Y SUS VARIACIONES. LA HOMOLOGACION EN EL PROCESO DEL TRAZADO Y ORIENTACION DE ESTRUCTURAS ORTOGONALES EN EPOCA ROMANA Y SUS PRECEDENTES,UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,18000.00,0,Margarita Orfila Pons
HAR2013-42865-P,"INNOVACION, CONTINUIDAD E HIBRIDACION. LAS SOCIEDADES DE LAS EDADES DEL COBRE Y BRONCE EN EL SUR DE LA PENINSULA IBERICA",UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,4,50000.00,0,Gonzalo Aranda Jimenez
HAR2013-43976-P,EL TRIUNFO DEL BARROCO EN LA ESCULTURA ANDALUZA E HISPANOAMERICANA,UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,22000.00,0,Lazaro Gila Medina
HAR2013-48423-P,DE ACCI A GUADIX. REINTERPRETANDO EL PASADO DE UNA CIUDAD HISTORICA PARA PROTEGER SU PATRIMONIO Y CONTRIBUIR A SU DESARROLLO (GRANADA),UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,38000.00,0,Jose Mª Martin Civantos
SAF2013-47481-P,PAPEL DE LOS RECEPTORES SIGMA-1 EN EL DOLOR INFLAMATORIO,UNIVERSIDAD DE GRANADA,FACULTAD DE MEDICINA,2,69000.00,0,Enrique Jose Cobos Del Moral
PSI2013-41098-P,DOBLE DISOCIACION ENTRE EL SISTEMA HIPOCAMPAL DORSAL Y EL VENTRAL EN DIFERENTES MODALIDADES DE APRENDIZAJE Y MEMORIA EN RATAS,UNIVERSIDAD DE GRANADA,FACULTAD DE PSICOLOGIA,3,14000.00,0,Juan Manuel Jimenez Ramos
PSI2013-42729-P,"PERCEPCION DE PELIGROS, CONCIENCIA SITUACIONAL Y TOMA DE DECISONES EN CONDUCCION",UNIVERSIDAD DE GRANADA,FACULTAD DE PSICOLOGIA,3,34000.00,0,Candida Castro Ramirez
PSI2013-43777-P,SIGNIFICACION MOTIVACIONAL DE LOS ESTIMULOS DE COMIDA: SU RELEVANCIA EN LA EXPLICACION DE LA BULIMIA NERVIOSA Y LA OBESI DAD,UNIVERSIDAD DE GRANADA,FACULTAD DE PSICOLOGIA,3,30000.00,0,Maria Del Carmen Fernandez-Santaella Santiago
