Código,DENOMINACIÓN GRUPO DE INVESTIGACIÓN,INV,MUJ,REV,LIB,CAP,CON,PROY,CONT
HUM383,LITERATURA Y TRADUCCIÓN,15,4,23,13,19,16,3,
HUM386,FORMACION DEL PROFESORADO CENTRADA EN LA ESCUELA,33,24,188,38,168,304,6,2
HUM388,PSICOFISIOLOGIA HUMANA Y SALUD,28,17,299,18,56,274,5,
HUM422,LINGUISTICA EXPERIMENTAL Y TIPOLOGICA,16,6,11,21,28,9,2,
HUM425,POR OTRA ESCULTURA PÚBLICA: CONSERVACIÓN DE LA MEMORIA,22,8,14,5,22,8,1,4
HUM430,ESTUDIOS DE ESPAÑOL ACTUAL,11,4,31,33,50,56,2,
HUM432,"CONOCIMIENTO, VERDAD Y VALORES",22,6,127,28,61,189,5,
HUM439,APLICACIONES INFORMÁTICAS A LA DESCRIPCIÓN Y ENSEÑANZA DE LA LENGUA INGLESA,16,8,25,12,21,75,2,2
HUM450,"CULTURA DIGITAL, CONSERVACION DEL PATRIMONIO, ESCULTURA, FOTOGRAFIA",13,6,25,13,57,86,8,10
HUM455,ANALISIS PSICOSOCIAL DE LOS RECURSOS HUMANOS EN LAS ORGANIZACIONES,10,4,33,6,22,22,1,
HUM457,DIDACTICA DE LA LENGUA Y LA LITERATURA,36,23,92,37,94,102,6,5
HUM466,ACCESO Y EVALUACION DE LA INFORMACION CIENTIFICA,18,11,72,19,31,55,5,1
HUM473,VALORACION DEL ENTRENAMIENTO DEPORTIVO E INVESTIGACION BIOMEDICA DEL DEPORTE,13,1,116,11,43,212,4,5
HUM524,ARTE E HISTORIA. PATRIMONIO HISPANOMUSULMAN EN AL-ANDALUS,17,7,7,15,40,5,10,2
HUM559,PRAGMATICA Y APRENDIZAJE DE LENGUAS,8,3,,13,1,,1,
HUM567,EVALUACIÓN  DE LA INVESTIGACIÓN Y DE PROGRAMAS EDUCATIVOS ANDALUCES,10,4,39,17,8,27,1,
HUM584,OBSERVATORIO DE PROSPECTIVA CULTURAL,30,12,73,21,65,7,2,2
HUM592,"RECEPCION, MODOS Y GENEROS DE LA LITER. EN LENGUA INGLESA",14,13,32,13,39,41,2,
HUM603,ESTUDIOS DE LA MUJER,15,15,55,15,66,122,7,1
HUM611,NUEVOS MATERIALES PARA EL ARTE CONTEMPORANEO,17,9,11,27,58,16,5,2
HUM613,DIDÁCTICA DE LAS CIENCIAS EXPERIMENTALES Y DE LA SOSTENIBILIDAD,18,6,192,20,109,180,2,3
HUM617,LA MUSICA EN ESPAÑA DURANTE LOS SIGLOS XIX Y XX,18,12,37,11,58,35,5,
HUM624,MODELIZACION Y MEDICION DEL COMPORTAMIENTO HUMANO,15,7,95,6,4,146,4,19
HUM641,LENGUAS APLICADAS A CONTEXTOS PROFESIONALES Y ACADEMICOS,8,5,36,18,22,49,4,1
HUM645,APRENDIZAJE Y DESARROLLO: ASPECTOS TEÓRICOS Y APLICADOS EN CONTEXTOS EDUCATIVOS,8,4,43,2,11,26,2,
HUM654,CREACION EDICION Y CONSERVACION DE LA IMAGEN,15,2,5,5,4,4,5,
HUM658,ESTUDIOS DE FILOLOGIA Y CRITICA LITERARIA,6,3,12,,6,8,2,
HUM672,A.R.E.A. (ANALISIS DE LA REALIDAD EDUCATIVA ANDALUZA),27,6,194,26,193,172,3,2
HUM728,ESTUDIOS DE LA CIVILIZACION GRIEGA MEDIEVAL Y MODERNA,27,16,65,27,94,76,3,8
HUM731,FORMA Y CONTENIDO EN DIBUJOS ANIMADOS,11,6,3,9,24,17,5,
HUM734,PALEOGRAFIA Y CODICOLOGIA ESLAVA,9,4,12,11,31,10,3,
HUM739,EDUCACIÓN SOCIAL Y CULTURAL,4,,14,5,8,14,1,
HUM740,MEMORIA Y LENGUAJE,33,25,165,1,9,375,7,6
HUM742,"DESARROLLO, EDUCACIÓN, DIVERSIDAD Y CULTURA: ANÁLISIS INTERDISCIPLINAR",16,8,155,46,158,116,3,7
HUM764,ANÁLISIS DE LA EDUCACIÓN FÍSICA. VARIABLES PSICOLÓGICAS Y PROGRAMAS …,13,1,182,8,8,129,2,
HUM770,AULA DE INVESTIGACIÓN DEL TEXTO MULTIMEDIA: LA TRADUCCIÓN AUDIOVISUAL,15,12,12,5,35,47,4,1
HUM771,"PAISAJE, MEDIO AMBIENTE Y ORDENACION TERRITORIAL",10,,3,4,13,5,2,
HUM773,HISTORIA DE LA CIENCIA,7,1,55,6,30,32,1,
HUM777,EVALUACION DE LA CIENCIA Y DE LA COMUNICACION,13,3,214,8,20,37,1,51
HUM784,NEUROPLASTICIDAD Y APRENDIZAJE,15,8,92,3,14,159,9,4
HUM798,GESTION E INVESTIGACION DEL PATRIMONIO ARQUEOLOGICO,19,9,68,3,72,48,8,
HUM806,ANDALUCÍA-AMÉRICA: PATRIMONIO Y RELACIONES ARTÍSTICAS,30,14,78,37,151,73,2,8
HUM813,ARQUITECTURA Y CULTURA CONTEMPORÁNEA,43,9,107,38,169,116,3,
HUM815,PERICIA Y ENTORNO DE LA TRADUCCIÓN,11,5,10,1,21,5,2,
HUM820,LECTURA Y ESCRITURA EN ESPAÑOL,17,14,51,1,25,145,1,5
HUM827,"ESLAVÍSTICA, CAUCASOLOGÍA Y TIPOLOGÍA LINGÜÍSTICA",9,6,16,15,14,75,4,
HUM828,"ÉTICA, POLÍTICA Y CONFLICTOS CONTEMPORÁNEOS",13,5,61,23,52,59,2,
HUM839,ALONSO CANO Y LA ESCUELA GRANADINA,9,6,25,1,101,93,2,3
HUM844,ESTRUCTURA Y PROCESOS INVOLUCRADOS EN LOS DEPORTES DE INTERACCIÓN,22,4,124,5,27,195,1,5
HUM848,TECNOLOGÍA EDUCATIVA E INVESTIGACIÓN SOCIAL,35,19,99,35,38,119,24,13
HUM850,"ARTE Y SOCIEDAD. INVESTIGACIÓN, CREACIÓN Y DIFUSIÓN.",19,12,3,13,7,4,4,1
HUM866,DIBUJO Y PROYECTO,14,7,6,46,12,,4,
HUM871,INVESTIGACIÓN EN COMUNICACIÓN EDUCATIVA,14,6,88,27,71,76,2,
HUM880,"GÉNERO: HISTORIA, SALUD Y ANTROPOLOGÍA",14,14,39,14,38,50,8,1
HUM890,"EVALUACION EN EDUCACION AMBIENTAL, SOCIAL E INSTITUCIONAL",11,4,92,22,34,12,2,
HUM957,NEUROERGONOMÍA,14,5,124,4,6,163,6,3
RNM102,BIOLOGIA Y ECOLOGIA ANIMAL DE MEDIOS ACUATICOS LOTICOS,12,4,185,8,74,143,1,8
RNM104,SISMOLOGÍA Y GEOFISICA,20,8,136,1,27,198,7,85
RNM110,"BIOLOGIA, BIOSISTEMATICA Y TAXONOMIA DE LA FLORA VASCULAR",15,9,108,11,1453,89,9,4
RNM119,FÍSICA DE LA ATMÓSFERA,29,9,581,8,312,1051,11,8
RNM121,INVESTIGACIONES MEDIOAMBIENTALES: RIESGOS GEOLÓGICOS E INGENERÍA DEL TERRENO,12,1,61,8,52,79,1,15
RNM122,"RSGIS -TELEDETECCIÓN ESPACIAL, SIG Y GEOESTADÍSTICA-",8,2,89,1,78,74,3,2
RNM125,REDES TROFICAS PELAGICAS CONTINENTALES,28,17,98,1,24,122,7,2
RNM126,GRUPO DE INVESTIGACION DE RECURSOS HIDRICOS,14,3,125,9,70,85,3,6
RNM127,CIENCIAS DEL SUELO Y GEOFARMACIA,11,3,102,2,8,211,3,5
RNM131,GRUPO DE INVESTIGACIÓN MINERALOGÍA PETROLOGÍA Y YACIMIENTOS MINERALES (GIMPY),15,3,160,4,26,230,5,
RNM143,CRECIMIENTO DE CRISTALES Y CRISTALIZACION INDUSTRIAL,23,9,296,5,13,393,21,4
RNM145,GEOQUIM.DE PROC.ENDOG.Y PETROG.DE ROCAS IGNEAS Y METAM.,6,2,78,5,8,96,3,
RNM148,GEOLOGIA ESTRUCTURAL Y TECTONICA,29,10,376,1,32,483,12,1
RNM152,CONCENTRACIÓN DE SOLIDOS Y BIORRECUPERACIÓN,9,4,189,5,21,183,5,2
RNM156,NUTRICION Y ALIMENTACION DE PECES,12,7,116,2,28,236,2,
RNM172,GRUPO DE INVESTIGACIÓN EN MATERIALES DE CARBÓN,12,3,233,1,10,259,8,9
RNM178,EVOLUCION DE LOS MARGENES MESOZOICOS DE IBERIA (EMMI),8,2,77,5,8,62,11,
RNM179,MINERALOGÍA Y GEOQUÍMICA DE LOS AMBIENTES SEDIMENTARIO Y METAMÓRFICO,29,13,347,3,42,288,14,9
RNM180,BIOLOGIA Y ECOLOGIA ANIMAL DE SISTEMAS TERRESTRES,14,1,43,2,8,28,8,4
RNM190,ANALISIS DE CUENCAS,13,2,164,10,23,140,4,4
RNM197,GESTION Y TECNOLOGIA AMBIENTAL,17,6,62,11,32,91,6,3
RNM207,"CARACTERIZACIÓN, CONSERVACIÓN Y RESTAURACIÓN DE FLORA Y VEGETACIÓN",10,3,52,6,38,59,1,7
RNM208,DISCONTINUIDADES ESTRATIGRAFICAS,6,1,37,6,19,19,2,5
RNM215,TECTONICA Y GEOLOGIA MARINA,13,7,68,,6,91,5,
RNM220,ECOLOGIA TERRESTRE,28,10,244,13,89,258,15,25
RNM254,BIOLOGÍA Y CONSERVACIÓN DE VERTEBRADOS MEDITERRÁNEOS,12,4,128,,63,95,4,6
RNM269,FORMACION Y DEGRADACION DEL SUELO,13,8,95,14,24,135,2,4
RNM270,MICROBIOLOGIA AMBIENTAL,42,20,379,22,64,391,23,30
RNM288,EL HERBARIO DE LA U. DE GRANADA COMO FUENTE DE ESTU.  TAXON.,15,10,27,9,145,34,2,
RNM291,FLORA Y VEGETACION CRIPTOGAMICA DE ANDALUCIA,2,,1,,,,1,
RNM302,PETROLOGIA Y MODELIZACION DE PROCESOS LITOSFERICOS,14,5,206,,5,99,4,
RNM332,INGENIERIA DE INTERFASES Y TECNOLOGIA BIOQUIMICA,9,6,56,2,24,113,2,10
RNM339,COMPORTAMIENTO Y ECOLOGIA ANIMAL,13,6,186,8,16,67,8,4
RNM342,SÓLIDOS POROSOS,9,4,74,1,,96,5,
RNM367,ECOLOGÍAFUNCIONAL,17,8,156,2,9,141,9,16
RNM369,GEOLOGÍA SEDIMENTARIA Y AGUAS SUBTERRÁNEAS,11,4,128,8,47,77,11,
RNM376,DINÁMICA DE ORÓGENOS Y CUENCAS,11,1,66,2,20,137,2,6
RNM909,VIVIENDA EFICIENTE Y RECICLAJE URBANO,15,8,66,13,70,44,7,11
SEJ106,"ANDALUCIA,LA UNION EUROPEA Y EL ESTADO SOCIAL",18,5,131,78,113,69,2,3
SEJ113,CIENCIA POLITICA Y DE LA ADMINISTRACION,57,24,171,64,326,318,13,11
SEJ114,UNION EUROPEA,8,5,25,34,13,8,2,4
SEJ123,LABORATORIO DE ESTUDIOS INTERCULTURALES,40,24,77,22,148,116,4,3
SEJ126,ANTROPOLOGÍA Y FILOSOFÍA,12,5,98,20,55,88,3,2
