CODIGO,CURSO,TITULO,TASA RENDIMIENTO,TASA EXITO,TASA ABANDONO INICIAL,TASA EFICIENCIA,TASA GRADUACION,TASA ABANDONO
227,2014,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"94,14","98,13","1,61","98,02",,
227,2015,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"93,15","96,74","5,8","99,03","43,08","30,77"
228,2011,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"76,15","85,1",,,,
228,2012,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"81,67","87,95",,,,
228,2013,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"82,95","87,98","13,04",,,
228,2014,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"85,65","90,25","7,91",,,
228,2015,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,83,"88,93","15,33",,,
230,2011,GRADUADO/A EN EDIFICACIÓN,"57,11","71,87",,,,
230,2012,GRADUADO/A EN EDIFICACIÓN,"57,23","74,51",,,,
230,2013,GRADUADO/A EN EDIFICACIÓN,"60,29","74,1","13,24",,,
230,2014,GRADUADO/A EN EDIFICACIÓN,"63,29","77,95","25,64","95,94",,
230,2015,GRADUADO/A EN EDIFICACIÓN,"61,01","77,25","33,1","97,56","18,82","26,47"
231,2011,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"64,25",75,,,,
231,2012,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"72,7","80,98",,,,
231,2013,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"78,75","86,64","27,94",,,
231,2014,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"82,1","88,38","23,91","96,95",,
231,2015,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"77,8","86,33","24,49","98,36","19,12","41,18"
233,2011,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"76,39","82,96",,,,
233,2012,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"73,18","79,64",,,,
233,2013,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"67,77","74,1","8,8",,,
233,2014,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"70,08","76,87","14,17","97,08",,
233,2015,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"66,75","75,65","12,03","96,15","29,6","23,2"
235,2011,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"80,4","86,78",,,,
235,2012,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"75,64","82,58",,,,
235,2013,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"75,65","81,28","7,2",,,
235,2014,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"72,85","81,6","9,96","97,53",,
235,2015,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"73,24","82,53","6,74","96,51","37,12","22,73"
236,2011,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"72,98","79,8",,,,
