CODIGO,CURSO,TITULO,TASA ABANDONO
239,2014,GRADUADO/A EN ECONOMÍA,
239,2015,GRADUADO/A EN ECONOMÍA,"33,05"
241,2011,GRADUADO/A EN FISIOTERAPIA,
241,2012,GRADUADO/A EN FISIOTERAPIA,
241,2013,GRADUADO/A EN FISIOTERAPIA,
241,2014,GRADUADO/A EN FISIOTERAPIA,
241,2015,GRADUADO/A EN FISIOTERAPIA,"17,65"
242,2011,GRADUADO/A EN DERECHO,
242,2012,GRADUADO/A EN DERECHO,
242,2013,GRADUADO/A EN DERECHO,
242,2014,GRADUADO/A EN DERECHO,
242,2015,GRADUADO/A EN DERECHO,"28,6"
243,2011,GRADUADO/A EN TERAPIA OCUPACIONAL,
243,2012,GRADUADO/A EN TERAPIA OCUPACIONAL,
243,2013,GRADUADO/A EN TERAPIA OCUPACIONAL,
243,2014,GRADUADO/A EN TERAPIA OCUPACIONAL,
243,2015,GRADUADO/A EN TERAPIA OCUPACIONAL,"24,14"
244,2011,GRADUADO/A EN EDUCACIÓN SOCIAL,
244,2012,GRADUADO/A EN EDUCACIÓN SOCIAL,
244,2013,GRADUADO/A EN EDUCACIÓN SOCIAL,
244,2014,GRADUADO/A EN EDUCACIÓN SOCIAL,
244,2015,GRADUADO/A EN EDUCACIÓN SOCIAL,"32,52"
245,2013,GRADUADO/A EN CRIMINOLOGÍA,
245,2014,GRADUADO/A EN CRIMINOLOGÍA,
245,2015,GRADUADO/A EN CRIMINOLOGÍA,
249,2011,GRADUADO/A EN TRABAJO SOCIAL,
249,2012,GRADUADO/A EN TRABAJO SOCIAL,
249,2013,GRADUADO/A EN TRABAJO SOCIAL,
249,2014,GRADUADO/A EN TRABAJO SOCIAL,
249,2015,GRADUADO/A EN TRABAJO SOCIAL,"38,64"
251,2015,GRADUADO/A EN BIOTECNOLOGÍA,
252,2011,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,
252,2012,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,
252,2013,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,
252,2014,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,
252,2015,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"15,54"
256,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),
256,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),
256,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),
256,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),
257,2011,GRADUADO/A EN EDUCACIÓN PRIMARIA,
257,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA,
257,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA,
257,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA,
257,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA,"17,11"
258,2011,GRADUADO/A EN EDUCACIÓN INFANTIL,
258,2012,GRADUADO/A EN EDUCACIÓN INFANTIL,
258,2013,GRADUADO/A EN EDUCACIÓN INFANTIL,
258,2014,GRADUADO/A EN EDUCACIÓN INFANTIL,
258,2015,GRADUADO/A EN EDUCACIÓN INFANTIL,"15,92"
259,2011,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,
259,2012,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,
259,2013,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,
259,2014,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,
259,2015,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"37,13"
260,2011,GRADUADO/A EN BELLAS ARTES,
260,2012,GRADUADO/A EN BELLAS ARTES,
260,2013,GRADUADO/A EN BELLAS ARTES,
260,2014,GRADUADO/A EN BELLAS ARTES,
260,2015,GRADUADO/A EN BELLAS ARTES,"27,93"
261,2011,GRADUADO/A EN BIOQUÍMICA,
261,2012,GRADUADO/A EN BIOQUÍMICA,
261,2013,GRADUADO/A EN BIOQUÍMICA,
261,2014,GRADUADO/A EN BIOQUÍMICA,
261,2015,GRADUADO/A EN BIOQUÍMICA,"26,79"
263,2011,GRADUADO/A EN FILOSOFÍA,
263,2012,GRADUADO/A EN FILOSOFÍA,
263,2013,GRADUADO/A EN FILOSOFÍA,
263,2014,GRADUADO/A EN FILOSOFÍA,
263,2015,GRADUADO/A EN FILOSOFÍA,"51,52"
264,2011,GRADUADO/A EN PSICOLOGÍA,
264,2012,GRADUADO/A EN PSICOLOGÍA,
264,2013,GRADUADO/A EN PSICOLOGÍA,
264,2014,GRADUADO/A EN PSICOLOGÍA,
264,2015,GRADUADO/A EN PSICOLOGÍA,"19,23"
265,2011,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,
265,2012,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,
265,2013,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,
265,2014,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,
265,2015,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"32,08"
266,2014,GRADUADO/A EN ARQUEOLOGÍA,
266,2015,GRADUADO/A EN ARQUEOLOGÍA,
267,2011,GRADUADO/A EN FÍSICA,
267,2012,GRADUADO/A EN FÍSICA,
267,2013,GRADUADO/A EN FÍSICA,
267,2014,GRADUADO/A EN FÍSICA,
267,2015,GRADUADO/A EN FÍSICA,"48,75"
268,2011,GRADUADO/A EN GEOLOGÍA,
268,2012,GRADUADO/A EN GEOLOGÍA,
268,2013,GRADUADO/A EN GEOLOGÍA,
268,2014,GRADUADO/A EN GEOLOGÍA,
268,2015,GRADUADO/A EN GEOLOGÍA,"51,47"
270,2011,GRADUADO/A EN MATEMÁTICAS,
270,2012,GRADUADO/A EN MATEMÁTICAS,
