Código,Departamento,Área,Cr. ECTS,Coef. Exp.,Cred. Tot.,Matrículas,Cred. Pon.
305047,GEODINÁMICA,GEODINÁMICA EXTERNA ,"99,00 ","1,80 ","178,20 ","1.575,00 ","19.110,60"
,GEODINÁMICA,GEODINÁMICA INTERNA ,"96,00 ","1,80 ","172,80 ","971,00 ","12.997,80"
305048,ANÁLISIS GEOGRÁFICO REGIONAL Y GEOGRAFÍA FÍSICA,ANÁLISIS GEOGRÁFICO REGIONAL ,"195,00 ","1,20 ","234,00 ","2.108,00 ","15.256,80"
,ANÁLISIS GEOGRÁFICO REGIONAL Y GEOGRAFÍA FÍSICA,GEOGRAFÍA FÍSICA ,"210,00 ","1,20 ","252,00 ","2.442,00 ","17.607,60"
305049,GEOGRAFÍA HUMANA,GEOGRAFÍA HUMANA ,"234,00 ","1,20 ","280,80 ","2.356,00 ","16.984,80"
305050,GEOMETRÍA Y TOPOLOGÍA,GEOMETRÍA Y TOPOLOGÍA ,"144,00 ","1,20 ","172,80 ","1.889,00 ","14.810,40"
305051,HISTORIA DEL ARTE,HISTORIA DEL ARTE ,"384,00 ","1,20 ","460,80 ","5.077,00 ","36.554,40"
305052,HISTORIA CONTEMPORÁNEA,HISTORIA CONTEMPORÁNEA ,"144,00 ","1,00 ","144,00 ","2.190,00 ","13.140,00"
305053,HISTORIA MEDIEVAL Y CIENCIAS Y TÉCNICAS HISTORIOGRÁFICAS,CIENCIAS Y TÉCNICAS HISTORIOGRÁFICAS ,"48,00 ","1,20 ","57,60 ","660,00 ","4.752,00"
,HISTORIA MEDIEVAL Y CIENCIAS Y TÉCNICAS HISTORIOGRÁFICAS,HISTORIA MEDIEVAL ,"84,00 ","1,00 ","84,00 ","1.291,00 ","7.746,00"
305054,HISTORIA MODERNA Y DE AMÉRICA,HISTORIA DE AMÉRICA ,"36,00 ","1,00 ","36,00 ","604,00 ","3.624,00"
,HISTORIA MODERNA Y DE AMÉRICA,HISTORIA MODERNA ,"120,00 ","1,00 ","120,00 ","1.260,00 ","7.866,00"
305055,INGENIERÍA QUÍMICA,INGENIERÍA QUÍMICA ,"213,00 ","1,60 ","340,80 ","2.386,00 ","23.308,80"
305056,ARQUITECTURA Y TECNOLOGÍA DE COMPUTADORES,ARQUITECTURA Y TECNOLOGÍA DE COMPUTADORES ,"246,00 ","1,60 ","393,60 ","2.417,00 ","23.203,20"
,ARQUITECTURA Y TECNOLOGÍA DE COMPUTADORES,INGENIERÍA DE SISTEMAS Y AUTOMÁTICA ,"48,00 ","1,60 ","76,80 ","176,00 ","1.689,60"
305057,LINGÜÍSTICA GENERAL Y TEORÍA DE LA LITERATURA,LINGÜÍSTICA GENERAL ,"534,00 ","1,00 ","534,00 ","2.264,00 ","13.818,00"
,LINGÜÍSTICA GENERAL Y TEORÍA DE LA LITERATURA,TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA ,"198,00 ","1,00 ","198,00 ","1.655,00 ","9.930,00"
305058,MATEMÁTICA APLICADA,MATEMÁTICA APLICADA ,"258,00 ","1,20 ","309,60 ","5.896,00 ","42.451,20"
305059,MEDICINA,DERMATOLOGÍA ,"11,00 ","2,00 ","22,00 ","301,00 ","3.590,00"
,MEDICINA,MEDICINA ,"184,00 ","2,00 ","368,00 ","4.264,00 ","65.424,00"
305061,MICROBIOLOGÍA,MICROBIOLOGÍA ,"166,50 ","1,80 ","299,70 ","5.096,00 ","55.814,40"
305062,MINERALOGÍA Y PETROLOGÍA,CRISTALOGRAFÍA Y MINERALOGÍA ,"72,00 ","1,80 ","129,60 ","614,00 ","6.631,20"
,MINERALOGÍA Y PETROLOGÍA,PETROLOGÍA Y GEOQUÍMICA ,"54,00 ","1,80 ","97,20 ","312,00 ","4.222,80"
305063,NUTRICIÓN Y BROMATOLOGÍA,NUTRICIÓN Y BROMATOLOGÍA ,"180,00 ","1,80 ","324,00 ","2.322,00 ","25.077,60"
305064,OBSTETRICIA Y GINECOLOGÍA,OBSTETRICIA Y GINECOLOGÍA ,"48,50 ","2,00 ","97,00 ","1.008,00 ","14.742,00"
305065,PARASITOLOGÍA,PARASITOLOGÍA ,"78,00 ","1,80 ","140,40 ","1.898,00 ","20.104,20"
305066,PEDAGOGÍA,TEORÍA E HISTORIA DE LA EDUCACIÓN ,"550,00 ","1,00 ","550,00 ","6.724,00 ","58.384,00"
305067,"PERSONALIDAD, EVALUACIÓN Y TRATAMIENTO PSICOLÓGICO","PERSONALIDAD, EVALUACIÓN Y TRATAMIENTO PSICOLÓGIC ","422,00 ","1,20 ","506,40 ","5.449,00 ","43.522,80"
305068,PREHISTORIA Y ARQUEOLOGÍA,ARQUEOLOGÍA ,"90,00 ","1,20 ","108,00 ","1.045,00 ","7.524,00"
,PREHISTORIA Y ARQUEOLOGÍA,PREHISTORIA ,"114,00 ","1,20 ","136,80 ","1.560,00 ","11.232,00"
305069,PSICOLOGÍA EVOLUTIVA Y DE LA EDUCACIÓN,PSICOLOGÍA EVOLUTIVA Y DE LA EDUCACIÓN ,"902,00 ","1,20 ","1.082,40 ","12.691,00 ","132.938,40"
305070,PSICOLOGÍA EXPERIMENTAL,PSICOLOGÍA EXPERIMENTAL ,"293,00 ","1,20 ","351,60 ","3.594,00 ","29.310,00"
305071,QUÍMICA ANALÍTICA,QUÍMICA ANALÍTICA ,"159,00 ","1,80 ","286,20 ","2.544,00 ","27.199,80"
305072,QUÍMICA FÍSICA,QUÍMICA FÍSICA ,"96,00 ","1,80 ","172,80 ","1.171,00 ","12.646,80"
305073,QUÍMICA INORGÁNICA,QUÍMICA INORGÁNICA ,"188,00 ","1,80 ","338,40 ","2.947,00 ","32.785,20"
305074,QUÍMICA ORGÁNICA,QUÍMICA ORGÁNICA ,"114,00 ","1,80 ","205,20 ","1.660,00 ","17.928,00"
305075,RADIOLOGÍA Y MEDICINA FÍSICA,RADIOLOGÍA Y MEDICINA FÍSICA ,"70,50 ","1,80 ","126,90 ","1.043,00 ","13.239,90"
305076,SOCIOLOGÍA,SOCIOLOGÍA ,"592,00 ","1,00 ","592,00 ","10.706,00 ","78.082,00"
305077,CIENCIAS DE LA COMPUTACIÓN E INTELIGENCIA ARTIFICIAL,CIENCIAS DE LA COMPUTACIÓN E INTELIGENCIA ARTIFICIAL ,"582,00 ","1,60 ","931,20 ","6.250,00 ","60.676,80"
305078,DERECHO PENAL,DERECHO PENAL ,"155,00 ","1,00 ","155,00 ","3.894,00 ","23.766,00"
305079,LENGUAJES Y SISTEMAS INFORMÁTICOS,LENGUAJES Y SISTEMAS INFORMÁTICOS ,"456,00 ","1,60 ","729,60 ","4.237,00 ","40.675,20"
305080,FÍSICA TEÓRICA Y DEL COSMOS,ASTRONOMÍA Y ASTROFÍSICA ,"36,00 ","1,60 ","57,60 ","848,00 ","8.140,80"
,FÍSICA TEÓRICA Y DEL COSMOS,FÍSICA DE LA TIERRA ,"18,00 ","1,60 ","28,80 ","479,00 ","4.598,40"
,FÍSICA TEÓRICA Y DEL COSMOS,FÍSICA TEÓRICA ,"72,00 ","1,40 ","100,80 ","1.335,00 ","11.214,00"
305081,INFORMACIÓN Y DOCUMENTACIÓN,BIBLIOTECONOMÍA Y DOCUMENTACIÓN ,"258,00 ","1,20 ","309,60 ","2.737,00 ","20.044,80"
,INFORMACIÓN Y DOCUMENTACIÓN,COMUNICACIÓN AUDIOVISUAL Y PUBLICIDAD ,"156,00 ","1,20 ","187,20 ","1.434,00 ","10.324,80"
305082,PINTURA,PINTURA,"240,00 ","1,20 ","288,00 ","3.569,00 ","25.696,80"
305083,ESCULTURA,ESCULTURA,"156,00 ","1,40 ","218,40 ","2.841,00 ","23.864,40"
305084,ELECTROMAGNETISMO Y FÍSICA DE LA MATERIA,ELECTROMAGNETISMO,"69,00 ","1,60 ","110,40 ","744,00 ","8.308,80"
,ELECTROMAGNETISMO Y FÍSICA DE LA MATERIA,FÍSICA DE LA MATERIA CONDENSADA,"42,00 ","1,60 ","67,20 ","390,00 ","4.560,00"
305085,EDUCACIÓN FÍSICA Y DEPORTIVA,EDUCACIÓN FÍSICA Y DEPORTIVA,"624,00 ","1,40 ","873,60 ","6.132,00 ","67.888,80"
305086,CIENCIA POLÍTICA Y DE LA ADMINISTRACIÓN,CIENCIA POLÍTICA Y DE LA ADMINISTRACIÓN,"381,00 ","1,00 ","381,00 ","6.501,00 ","39.132,00"
305087,DERECHO INTERNACIONAL PÚBLICO Y RELACIONES INTERNACIONALES,DERECHO INTERNACIONAL PÚBLICO Y RELACIONES INTERNACIONALES,"93,00 ","1,00 ","93,00 ","2.890,00 ","18.637,00"
305088,DERECHO DEL TRABAJO,DERECHO DEL TRABAJO Y DE LA SEGURIDAD SOCIAL,"296,00 ","1,00 ","296,00 ","6.542,00 ","40.820,00"
305089,GENÉTICA,GENÉTICA,"78,00 ","1,80 ","140,40 ","1.820,00 ","19.656,00"
305090,HISTORIA ANTIGUA,HISTORIA ANTIGUA,"96,00 ","1,00 ","96,00 ","1.669,00 ","10.014,00"
305091,PEDIATRÍA,PEDIATRÍA,"51,00 ","2,00 ","102,00 ","999,00 ","16.738,00"
305092,INGENÍERIA CIVIL,INGENIERÍA DEL TERRENO,"36,00 ","1,60 ","57,60 ","775,00 ","6.004,80"
,INGENÍERIA CIVIL,INGENIERÍA E INFRAESTRUCTURA DE LOS TRANSPORTES,"48,00 ","1,60 ","76,80 ","460,00 ","4.416,00"
,INGENÍERIA CIVIL,INGENIERÍA ELÉCTRICA,"51,00 ","1,60 ","81,60 ","651,00 ","6.081,60"
,INGENÍERIA CIVIL,TECNOLOGÍAS DEL MEDIO AMBIENTE,"87,00 ","1,60 ","139,20 ","1.127,00 ","9.792,00"
305093,ÓPTICA,ÓPTICA,"228,00 ","1,60 ","364,80 ","2.931,00 ","31.680,00"
305094,MEDICINA PREVENTIVA Y SALUD PÚBLICA,MEDICINA PREVENTIVA Y SALUD PÚBLICA,"114,50 ","1,60 ","183,20 ","2.528,00 ","28.193,60"
305095,TRADUCCIÓN E INTERPRETACIÓN,TRADUCCIÓN E INTERPRETACIÓN,"630,00 ","1,20 ","756,00 ","5.112,00 ","36.806,40"
305096,ESTOMATOLOGÍA,ESTOMATOLOGÍA,"204,00 ","2,00 ","408,00 ","2.452,00 ","30.540,00"
305098,PSICOLOGÍA SOCIAL Y METODOLOGÍA DE LAS CIENCIAS DEL COMPORTAMIENTO,PSICOLOGÍA SOCIAL,"234,00 ","1,20 ","280,80 ","5.730,00 ","41.256,00"
305099,ORGANIZACIÓN DE EMPRESAS,ORGANIZACIÓN DE EMPRESAS ,"492,00 ","1,00 ","492,00 ","10.455,00 ","62.730,00"
305100,MECÁNICA DE MEDIOS CONTINUOS Y TEORÍA DE ESTRUCTURAS,INGENIERÍA HIDRÁULICA ,"60,00 ","1,60 ","96,00 ","659,00 ","7.449,60"
,MECÁNICA DE MEDIOS CONTINUOS Y TEORÍA DE ESTRUCTURAS,MECÁNICA DE MEDIOS CONTINUOS Y TEORÍA DE ESTRUCTU ,"147,00 ","1,60 ","235,20 ","3.743,00 ","40.526,40"
305101,MÉTODOS DE INVESTIGACIÓN Y DIAGNÓSTICO EN EDUCACIÓN,MÉTODOS DE INVESTIGACIÓN Y DIAGNÓSTICO EN EDUCACI ,"552,00 ","1,20 ","662,40 ","5.266,00 ","73.305,60"
305102,MÉTODOS CUANTITATIVOS PARA LA ECONOMÍA Y LA EMPRESA,MÉTODOS CUANTITATIVOS PARA LA ECONOMÍA Y LA EMPRE ,"150,00 ","1,00 ","150,00 ","4.359,00 ","26.154,00"
305103,LITERATURA ESPAÑOLA,LITERATURA ESPAÑOLA ,"180,00 ","1,00 ","180,00 ","1.709,00 ","10.254,00"
305104,QUÍMICA FARMACÉUTICA Y ORGÁNICA,QUÍMICA FARMACEÚTICA Y ORGÁNICA ,"48,00 ","1,80 ","86,40 ","2.178,00 ","23.522,40"
305105,COMERCIALIZACIÓN E INVESTIGACIÓN DE MERCADOS,COMERCIALIZACIÓN E INVESTIGACIÓN DE MERCADOS ,"282,00 ","1,00 ","282,00 ","5.098,00 ","31.152,00"
305106,BOTÁNICA,BOTÁNICA ,"78,00 ","1,80 ","140,40 ","2.096,00 ","22.636,80"
305107,FISIOLOGÍA VEGETAL,FISIOLOGÍA VEGETAL ,"108,00 ","1,80 ","194,40 ","1.831,00 ","22.561,20"
305108,HISTOLOGÍA,HISTOLOGÍA ,"96,50 ","2,00 ","193,00 ","2.946,00 ","36.714,00"
305109,TEORÍA E HISTORIA ECONÓMICA,FUNDAMENTOS DEL ANÁLISIS ECONÓMICO ,"66,00 ","1,00 ","66,00 ","2.451,00 ","14.706,00"
,TEORÍA E HISTORIA ECONÓMICA,HISTORIA E INSTITUCIONES ECONÓMICAS ,"72,00 ","1,00 ","72,00 ","1.813,00 ","10.878,00"
305110,ANTROPOLOGÍA SOCIAL,ANTROPOLOGÍA SOCIAL ,"246,00 ","1,00 ","246,00 ","2.497,00 ","14.982,00"
305111,TRABAJO SOCIAL Y SERVICIOS SOCIALES,TRABAJO SOCIAL Y SERVICIOS SOCIALES ,"180,00 ","1,20 ","216,00 ","3.153,00 ","27.223,20"
305112,FISIOTERAPIA,FISIOTERAPIA ,"288,00 ","2,00 ","576,00 ","2.407,00 ","32.280,00"
305113,ENFERMERÍA,ENFERMERÍA ,"888,00 ","2,00 ","1.776,00 ","10.913,00 ","169.302,00"
