Código,Departamento ,Val. Puntos Profesorado ,Val. Cred. Matrícula,Asignación Ej. 2015,Asignación Ej. 2014,% 15-14 ,% Adap. ,Adaptac. ,Distribución Baremo ,Dietas Asist. ,Distribución 2015
305030,ESTADÍSTICA E INVESTIGACIÓN OPERATIVA ,"23.110,50 ","26.953,34 ","54.413,84 ","48.459,71 ","12,29 ","10,00 ","4.845,97 ","53.305,68 ","7.884,00 ","61.189,68"
305031,ESTRATÍGRAFÍA Y PALEONTOLOGÍA ,"5.952,00 ","9.468,62 ","19.770,62 ","17.539,44 ","12,72 ","10,00 ","1.753,94 ","19.293,38 ","0,00 ","19.293,38"
305032,ESTUDIOS SEMÍTICOS ,"10.602,00 ","4.493,28 ","19.445,28 ","18.377,12 ","5,81 ","5,81 ","0,00 ","19.445,28 ","0,00 ","19.445,28"
305033,EXPRESION GRÁFICA ARQUITECTÓNICA Y EN LA INGENIERÍA ,"25.482,00 ","31.289,28 ","61.121,28 ","74.883,47 ","-18,38 ","-5,00 ","-3.744,17 ","71.139,30 ","0,00 ","71.139,30"
305034,FARMACIA Y TECNOLOGÍA FARMACÉUTICA ,"7.812,00 ","14.138,78 ","26.300,78 ","29.408,11 ","-10,57 ","-5,00 ","-1.470,41 ","27.937,70 ","0,00 ","27.937,70"
305035,FARMACOLOGÍA ,"8.230,50 ","18.102,74 ","30.683,24 ","30.010,21 ","2,24 ","2,24 ","0,00 ","30.683,24 ","0,00 ","30.683,24"
305036,LENGUA ESPAÑOLA ,"5.952,00 ","8.867,76 ","19.169,76 ","19.860,56 ","-3,48 ","-3,48 ","0,00 ","19.169,76 ","0,00 ","19.169,76"
305037,FILOLOGÍA FRANCESA ,"7.440,00 ","7.600,56 ","19.390,56 ","19.796,66 ","-2,05 ","-2,05 ","0,00 ","19.390,56 ","1.314,00 ","20.704,56"
305038,FILOLOGÍA GRIEGA ,"9.672,00 ","5.055,60 ","19.077,60 ","19.480,38 ","-2,07 ","-2,07 ","0,00 ","19.077,60 ","0,00 ","19.077,60"
305039,FILOLOGÍA INGLESA ,"21.483,00 ","25.956,48 ","51.789,48 ","66.345,48 ","-21,94 ","-5,00 ","-3.317,27 ","63.028,21 ","0,00 ","63.028,21"
305040,FILOLOGÍA LATINA ,"4.464,00 ","2.544,96 ","11.358,96 ","12.012,84 ","-5,44 ","-5,00 ","-600,64 ","11.412,20 ","0,00 ","11.412,20"
305041,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CAT ","7.161,00 ","4.495,92 ","16.006,92 ","15.170,04 ","5,52 ","5,52 ","0,00 ","16.006,92 ","0,00 ","16.006,92"
305042,FILOSOFÍA I ,"6.138,00 ","6.596,83 ","17.084,83 ","16.474,10 ","3,71 ","3,71 ","0,00 ","17.084,83 ","0,00 ","17.084,83"
305043,"FILOSOFÍA DEL DERECHO, MORAL Y POLÍTICA ","3.720,00 ","6.735,96 ","14.805,96 ","17.644,76 ","-16,09 ","-5,00 ","-882,24 ","16.762,52 ","0,00 ","16.762,52"
305044,FÍSICA APLICADA ,"16.275,00 ","18.188,54 ","38.813,54 ","35.330,85 ","9,86 ","9,86 ","0,00 ","38.813,54 ","0,00 ","38.813,54"
