World Rank,University,Total Score,11 Years Articles,Current Articles,11 Years Citations,Current Citations,Ave. Citations,H-Index,HiCi Papers,Hi-Impact Journal Articles
85,The University of Tokyo,56.5,69.0,57.5,57.0,53.7,45.9,58.7,53.0,57.4
85,National Cheng Kung University,56.5,72.0,61.3,59.6,56.1,46.5,56.2,46.6,55.5
85,University of Florida,56.5,61.5,55.6,60.0,54.1,50.9,56.0,56.6,55.9
88,University of Amsterdam,56.3,57.0,54.2,61.3,55.6,55.4,56.2,55.7,54.7
89,National Taiwan University,55.9,70.5,61.2,61.2,51.8,47.8,48.8,50.2,54.0
89,Michigan State University,55.9,52.9,51.3,56.6,59.2,55.1,59.1,53.9,60.1
89,"University of California, Davis",55.9,57.3,52.2,62.0,50.3,55.7,46.6,64.0,54.4
92,Duke University,55.7,52.6,54.5,53.4,57.3,51.7,58.9,52.1,64.3
92,National University of Defense Technology,55.7,59.9,69.5,47.3,60.5,42.1,56.6,50.2,58.2
92,Sun Yat Sen University,55.7,55.8,64.1,50.6,59.4,46.4,59.1,50.2,59.0
92,University of Queensland,55.7,52.8,51.9,55.2,60.0,53.6,65.9,58.5,50.9
96,Eindhoven University of Technology,55.6,65.2,59.4,59.9,56.7,49.0,56.3,49.3,50.9
97,University of Malaya,55.5,48.1,65.4,43.8,76.6,42.2,73.0,52.1,49.0
97,Université de Montréal,55.5,61.4,55.4,58.5,56.2,50.0,58.9,53.0,52.4
99,Sichuan University,55.4,50.1,55.2,46.9,68.2,45.6,72.6,54.8,54.7
99,Northwestern Polytechnical University,55.4,50.0,62.0,44.7,68.2,42.7,69.4,53.0,56.3
101,Tel Aviv University,55.2,64.6,54.6,63.6,47.4,51.7,48.3,54.8,53.6
101,University of Chicago,55.2,50.8,48.5,59.9,56.1,62.3,52.9,58.5,52.8
103,National Taiwan University of Science and Technology,55.1,61.1,59.3,55.7,55.9,48.0,52.9,49.3,57.8
103,Karlsruhe Institute of Technology,55.1,53.7,53.0,53.6,76.1,50.9,60.0,50.2,49.8
105,Beijing Jiaotong University,55.0,56.4,63.9,47.4,57.3,43.2,56.3,51.1,62.0
106,University of Edinburgh,54.8,58.3,58.1,55.2,51.4,49.1,52.4,53.9,57.0
107,The University of Sydney,54.6,55.9,56.5,53.2,56.8,48.9,58.9,51.1,55.9
108,Beijing Institute of Technology,54.3,52.8,61.6,46.1,62.6,43.1,62.7,46.6,60.5
109,Polytechnic University of Milan,54.2,58.8,62.6,52.9,57.9,46.9,56.4,48.4,50.9
109,University of Lisbon,54.2,58.6,61.2,52.8,56.1,46.9,56.2,53.0,49.4
109,Korea University,54.2,68.8,63.5,53.3,53.2,43.9,48.9,48.4,53.2
109,"Rutgers University, New Brunswick",54.2,56.9,54.4,59.9,49.4,54.3,55.5,53.9,49.0
109,"University of Pittsburgh, Pittsburgh",54.2,54.6,51.9,57.1,58.6,53.8,56.5,54.8,48.2
114,Amirkabir University of Technology,54.1,56.3,60.8,51.4,56.7,46.9,56.3,53.9,50.1
114,Virginia Polytechnic Institute and State University,54.1,57.5,55.8,54.5,55.3,49.0,65.6,51.1,47.5
114,University of Southampton,54.1,55.9,53.6,53.0,54.8,48.6,56.1,49.3,61.2
117,Brunel University,53.9,50.2,47.9,53.5,51.3,54.8,55.7,70.4,46.3
118,Nanjing University of Aeronautics and Astronautics,53.8,51.7,58.5,49.4,54.7,47.7,62.2,52.1,54.4
119,Polytechnic University of Madrid,53.7,60.3,64.0,50.0,54.6,44.0,49.0,45.6,60.1
119,Fudan University,53.7,56.1,60.0,49.3,51.8,45.0,52.5,51.1,60.5
119,Johns Hopkins University,53.7,52.3,50.1,56.7,53.3,56.0,55.9,56.6,49.8
122,University of Rome La Sapienza,53.6,56.9,55.6,51.7,56.5,46.9,58.9,50.2,53.6
122,Tianjin University,53.6,50.3,61.9,44.8,57.2,42.7,62.4,46.6,62.4
124,The Australian National University,53.5,49.7,48.8,54.3,52.5,56.6,52.6,56.6,56.3
124,Yonsei University,53.5,64.6,63.5,52.4,53.3,44.4,48.9,45.6,54.4
126,McGill University,53.3,57.8,54.0,55.0,51.9,49.3,55.8,49.3,53.6
126,Pierre and Marie Curie University - Paris 6,53.3,57.3,55.6,52.1,55.5,47.0,58.8,50.2,51.7
128,University of Chinese Academy of Sciences,53.2,53.1,65.4,45.6,57.5,42.4,56.4,49.3,54.7
128,Vienna University of Technology,53.2,59.8,56.3,55.8,50.4,48.7,46.6,52.1,53.2
