Posicion,Nombre,Rama,Disciplina,Especialidad,Citas,Indice h,Citas (ultimos 5 años),Indice h (ultimos 5 años),Perfil
820,Carmen Lizarraga Mollinedo,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Economi­a Aplicada,126,6,96,4,https://scholar.google.com/citations?user=0rzuWmYAAAAJ&hl=es
821,Eva Maria Cañadas Sanchez,Ciencias Biologicas,Biologi­a,Botanica,124,8,119,8,https://scholar.google.com/citations?user=m7qWNqsAAAAJ&hl=es
822,Laura Mi©ndez Liñan,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Inorganica,124,5,90,5,https://scholar.google.com/citations?user=NlTFbYMAAAAJ&hl=es
823,Javier Delgado Ceballos,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Organizacion de Empresas,123,5,123,5,https://scholar.google.com/citations?user=aRvUB74AAAAJ&hl=es
824,Gregorio Nuñez Romero-Balmas,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Teori­a e Historia Economica,123,6,35,3,https://scholar.google.com/citations?user=hP0BebMAAAAJ&hl=es
825,Francisco Salvador Ventura,Ciencias Humanas y Artes,Filosofi­a y Letras,Historia Antigua,122,5,65,4,https://scholar.google.com/citations?user=F-2qnfoAAAAJ&hl=es
826,Dolores Sanchez,Ciencias Humanas y Artes,Traduccion e Interpretacion,Traduccion e Interpretacion,121,8,53,4,https://scholar.google.com/citations?user=8P85dUcAAAAJ&hl=es
827,Israa Amro,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,121,4,121,4,https://scholar.google.com/citations?user=nY8Hud4AAAAJ&hl=es
828,Juan Manuel Jimenez Arenas,Ciencias Humanas y Artes,Filosofi­a y Letras,Prehistoria y Arqueologi­a,121,4,118,4,https://scholar.google.com/citations?user=tU9RHCsAAAAJ&hl=es
829,Esteban Juan Perez Alonso,Ciencias Sociales y Juri­dicas,Derecho,Derecho Penal,120,5,60,4,https://scholar.google.com/citations?user=-CfVemYAAAAJ&hl=es
830,Rocio Llamas Sanchez,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Organizacion de Empresas,120,6,101,6,https://scholar.google.com/citations?user=lYRMzWYAAAAJ&hl=es
831,Luis Arboledas Marti­nez,Ciencias Humanas y Artes,Filosofi­a y Letras,Prehistoria y Arqueologi­a,119,7,90,6,https://scholar.google.com/citations?user=7J_E6JsAAAAJ&hl=es
832,Ana Pi©rez Lopez,Ciencias Sociales y Juri­dicas,Comunicacion y Documentacion,Informacion y Comunicacion,119,6,42,4,https://scholar.google.com/citations?user=CuEMC8UAAAAJ&hl=es
833,Jose Maria Suarez Lopez,Ciencias Sociales y Juri­dicas,Derecho,Derecho Penal,118,5,76,4,https://scholar.google.com/citations?user=_eLn7_8AAAAJ&hl=es
834,Sara Del Rio Garcia,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,118,5,118,5,https://scholar.google.com/citations?user=-OVJOx8AAAAJ&hl=es
835,Adelaida Monteoliva Sanchez,Ciencias Sociales y Juri­dicas,Psicologi­a - Sociales,Psicologi­a Social,117,5,67,4,https://scholar.google.com/citations?user=KY3Z5CIAAAAJ&hl=es
836,Lilian Bermejo Luque,Ciencias Humanas y Artes,Filosofi­a y Letras,"Filosofi­a Ciencia, Moral, Esti©tica y Teori­a Artes",116,6,83,5,https://scholar.google.com/citations?user=4joMBBUAAAAJ&hl=es
837,Carmelo Perez Beltran,Ciencias Humanas y Artes,Filosofi­a y Letras,Estudios Semi­ticos,116,6,48,3,https://scholar.google.com/citations?user=pG1mQdkAAAAJ&hl=es
838,Daniel Peralta Camara,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,115,6,113,6,https://scholar.google.com/citations?user=PhxoGUIAAAAJ&hl=es
839,Miguel Angel Gallardo Vigil,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Mi©todos de Investigacion y Diagnostico en Educacion,114,6,60,5,https://scholar.google.com/citations?user=gV8kERMAAAAJ&hl=es
840,Juan Antonio Morente Molinera,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,114,5,112,5,https://scholar.google.com/citations?user=Ptw_3cQAAAAJ&hl=es
841,Francisco Jose Manjon Pozas,Ciencias Humanas y Artes,Filosofi­a y Letras,Lingi¼i­stica General y Teori­a de la Literatura,114,6,39,4,https://scholar.google.com/citations?user=TxsdpaoAAAAJ&hl=es
842,Maria Ros Izquierdo,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,114,6,98,6,https://scholar.google.com/citations?user=YM6z-hAAAAAJ&hl=es
843,Francisco Artacho Cordon,Ciencias de la Salud,Medicina,Radiologi­a y Medicina Fi­sica,113,7,113,7,https://scholar.google.com/citations?user=sM-2Z_oAAAAJ&hl=es
844,Cecilia Galindo Gonzalez,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Aplicada,112,5,68,5,https://scholar.google.com/citations?user=3Y26lhoAAAAJ&hl=es
