index,fecha,de,cod_capitulo,capitulo,cod_concepto,concepto,cod_programa,programa,cantidad
97,2013,Universidad de Granada,4, Transferencias Corrientes,485,A Fundaciones y otras instituciones  Consejo Social,321B,Estructura y Gestión Universitaria,8259
98,2013,Universidad de Granada,4, Transferencias Corrientes,485.03,Al Centro Mediterráneo,321B,Estructura y Gestión Universitaria,38495
99,2013,Universidad de Granada,4, Transferencias Corrientes,485.05,Otros Planes de Apoyo Junta de Andalucía,422D,Enseñanzas Universitarias,1915000
100,2013,Universidad de Granada,4, Transferencias Corrientes,490.11,Cuotas y contrib.organismos internacionales,422D,Enseñanzas Universitarias,30000
101,2013,Universidad de Granada,6, Inversiones Reales,602.0,Construcciones propias,321B,Estructura y Gestión Universitaria,3517282
102,2013,Universidad de Granada,6, Inversiones Reales,603.0,"Maquinaria Centros, Departamentos y Servicios",321B,Estructura y Gestión Universitaria,500000
103,2013,Universidad de Granada,6, Inversiones Reales,603.03,Maquinaria (Equipamiento Gral.Docente),321B,Estructura y Gestión Universitaria,400000
104,2013,Universidad de Granada,6, Inversiones Reales,603.04,Maquinaria (Equipamiento de gestión),321B,Estructura y Gestión Universitaria,100000
105,2013,Universidad de Granada,6, Inversiones Reales,603.05,Maquinaria (Equipamiento en prevención de riesgos),321B,Estructura y Gestión Universitaria,120000
106,2013,Universidad de Granada,6, Inversiones Reales,605.0,"Mobiliario y enseres Centros, Depart. y Servicios",321B,Estructura y Gestión Universitaria,1476840
107,2013,Universidad de Granada,6, Inversiones Reales,605.03,Mobiliario y enseres (Equip.Gral.docente),321B,Estructura y Gestión Universitaria,400000
108,2013,Universidad de Granada,6, Inversiones Reales,605.04,Mobiliario y enseres (Equipamiento de gestión),321B,Estructura y Gestión Universitaria,75000
109,2013,Universidad de Granada,6, Inversiones Reales,605.05,Mobiliario y enseres (Equip. en prevención de riesgos),321B,Estructura y Gestión Universitaria,200000
110,2013,Universidad de Granada,6, Inversiones Reales,"606,00","Sistemas procesos información. Centros, Departamentos y Servic.",321B,Estructura y Gestión Universitaria,1000000
111,2013,Universidad de Granada,6, Inversiones Reales,"606,01",Sistemas procesos información. CSIRC,321B,Estructura y Gestión Universitaria,240000
112,2013,Universidad de Granada,6, Inversiones Reales,"606,02",Sistemas procesos información.Enseñanzas Virtuales,321B,Estructura y Gestión Universitaria,300000
113,2013,Universidad de Granada,6, Inversiones Reales,"606,05",Sistemas procesos  informaciòn de Gestión,321B,Estructura y Gestión Universitaria,150000
114,2013,Universidad de Granada,6, Inversiones Reales,608,Inversiones bibliográficas,422D,Enseñanzas Universitarias,400000
115,2013,Universidad de Granada,6, Inversiones Reales,608,Inversiones bibliográficas,541A,Investigación Científica,3600000
116,2013,Universidad de Granada,6, Inversiones Reales,608,Inversiones bibliográficas,321B,Estructura y Gestión Universitaria,25000
117,2013,Universidad de Granada,6, Inversiones Reales,621,Plan Plurianual Inversiones 2006/2010 (año 2011),321B,Estructura y Gestión Universitaria,20000000
118,2013,Universidad de Granada,6, Inversiones Reales,631,Programa FEDER 2007/13,541A,Investigación Científica,7000000
119,2013,Universidad de Granada,6, Inversiones Reales,"635,03", Actuaciones INNPLANTA 2012,321B,Estructura y Gestión Universitaria,250000
120,2013,Universidad de Granada,6, Inversiones Reales,640,Investigación Científica,541A,Investigación Científica,32201673
121,2013,Universidad de Granada,6, Inversiones Reales,"641,00",Plan Propio de Investigación Científica,541A,Investigación Científica,3360000
122,2013,Universidad de Granada,6, Inversiones Reales,"641,02",Plan Propio de Fomento de la Productividad Investigadora,541A,Investigación Científica,1000000
123,2013,Universidad de Granada,6, Inversiones Reales,642,Programas de Proyección Internacional y Promoción Lingüística,422D,Enseñanzas Universitarias,70000
124,2013,Universidad de Granada,6, Inversiones Reales,644,"Plan de Innovación, Calidad Docente y EEES.",422D,Enseñanzas Universitarias,900000
125,2013,Universidad de Granada,6, Inversiones Reales,645,Actuaciones Fomento de Empleo,422D,Enseñanzas Universitarias,400000
126,2013,Universidad de Granada,6, Inversiones Reales,648,Plan Propio de Internacionalización,422D,Enseñanzas Universitarias,715000
127,2013,Universidad de Granada,6, Inversiones Reales,662,Inversiones propias de reposición,321B,Estructura y Gestión Universitaria,8000000
128,2013,Universidad de Granada,7, Transferencias De Capital,"780,05", Plan Propio para Promoción del Autoempleo,422D,Enseñanzas Universitarias,250000
129,2013,Universidad de Granada,7, Transferencias De Capital,784,Ayudas diversas Consejo Social,321B,Estructura y Gestión Universitaria,12000
130,2013,Universidad de Granada,7, Transferencias De Capital,"785,09",A otras Instituciones. Parque de las Ciencias,321B,Estructura y Gestión Universitaria,125000
131,2013,Universidad de Granada,8, Activos Financieros,831.0,Anticipos y préstamos a Personal Universidad G.A.S.,422D,Enseñanzas Universitarias,650000
132,2013,Universidad de Granada,8, Activos Financieros,"831,01",Linea especial de anticipos,422D,Enseñanzas Universitarias,500000
133,2013,Universidad de Granada,9, Pasivos Financieros,911,Amortización de préstamos a largo plazo. Sector Público,321B,Estructura y Gestión Universitaria,1127217
