RAMAS,TITULACIÓN,Hombres,Mujeres,TOTAL
 ,DIPLOMADO EN TERAPIA OCUPACIONAL,3,3,6
 ,GRADUADO/A EN ENFERMERÍA,158,513,671
 ,GRADUADO/A EN ENFERMERÍA (CEUTA),125,330,455
 ,GRADUADO/A EN ENFERMERÍA (MELILLA),78,201,279
 ,GRADUADO/A EN ENFERMERÍA (VIRGEN DE LA NIEVES),36,82,118
 ,GRADUADO/A EN FARMACIA,502,920,1422
 ,GRADUADO/A EN FISIOTERAPIA,114,113,227
 ,GRADUADO/A EN LOGOPEDIA,37,212,249
 ,GRADUADO/A EN MEDICINA,392,634,1026
 ,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,107,274,381
 ,GRADUADO/A EN ODONTOLOGÍA,134,201,335
 ,GRADUADO/A EN PSICOLOGÍA,435,866,1301
 ,GRADUADO/A EN TERAPIA OCUPACIONAL,52,172,224
 ,LICENCIADO EN FARMACIA,267,629,896
 ,LICENCIADO EN MEDICINA,292,405,697
 ,LICENCIADO EN ODONTOLOGÍA,38,75,113
 ,LICENCIATURA EN FARMACIA,,1,1
TOTAL RAMA, ,2791,5676,8467
