"Titulación","Rama de conocimiento","Centro","Campus"
"Relaciones Laborales y Recursos Humanos","Ciencias Sociales y Jurí­dicas","Facultad de Ciencias del Trabajo","Centro"
"Sociologí­a","Ciencias Sociales y Jurí­dicas","Facultad de Ciencias Polí­ticas y Sociologí­a","Centro"
"Trabajo Social","Ciencias Sociales y Jurí­dicas","Facultad de Trabajo Social","Centro"
"Turismo","Ciencias Sociales y Jurí­dicas","Facultad de Ciencias Económicas y Empresariales","Cartuja"
"Arqueologí­a","Artes y Humanidades","Facultad de Filosofí­a y Letras","Cartuja"
"Bellas Artes","Artes y Humanidades","Facultad de Bellas Artes","Aynadamar"
"Conservación y Restauración de Bienes Culturales","Artes y Humanidades","Facultad de Bellas Artes","Aynadamar"
"Estudios Árabes e Islámicos","Artes y Humanidades","Facultad de Filosofí­a y Letras","Cartuja"
"Estudios Franceses","Artes y Humanidades","Facultad de Filosofí­a y Letras","Cartuja"
"Estudios Ingleses","Artes y Humanidades","Facultad de Filosofí­a y Letras","Cartuja"
"Filologí­a Clásica","Artes y Humanidades","Facultad de Filosofí­a y Letras","Cartuja"
"Filologí­a Hispánica","Artes y Humanidades","Facultad de Filosofí­a y Letras","Cartuja"
"Filosofí­a","Artes y Humanidades","Facultad de Filosofí­a y Letras","Cartuja"
"Historia","Artes y Humanidades","Facultad de Filosofí­a y Letras","Cartuja"
"Historia del Arte","Artes y Humanidades","Facultad de Filosofí­a y Letras","Cartuja"
"Historia y Ciencias de la Música","Artes y Humanidades","Facultad de Filosofí­a y Letras","Cartuja"
"Lenguas Modernas y sus Literaturas","Artes y Humanidades","Facultad de Filosofí­a y Letras","Cartuja"
"Literaturas Comparadas","Artes y Humanidades","Facultad de Filosofí­a y Letras","Cartuja"
"Traducción e Interpretación","Artes y Humanidades","Facultad de Traducción e Interpretación","Centro"
"Enfermerí­a","Ciencias de la Salud","Facultad de Ciencias de la Salud / Facultad de Ciencias de la Salud de Ceuta","Centro"
"Farmacia","Ciencias de la Salud","Facultad de Farmacia","Cartuja"
"Fisioterapia","Ciencias de la Salud","Facultad de Ciencias de la Salud","Centro"
"Logopedia","Ciencias de la Salud","Facultad de Psicologí­a","Cartuja"
"Medicina","Ciencias de la Salud","Facultad de Medicina","Centro"
"Nutrición Humana y Dietética","Ciencias de la Salud","Facultad de Farmacia","Cartuja"
"Odontologí­a","Ciencias de la Salud","Facultad de Odontologí­a","Cartuja"
"Psicologí­a","Ciencias de la Salud","Facultad de Psicologí­a","Cartuja"
